capa_id,case,source,root_cause,category,description,owner,priority,open_date,due_date,status,cfr_reference,verification_method,closure_date,effectiveness_confirmed,ivenix_software_version_reference,nimbus_distribution_start_reference,notes
CAPA-0001,Case-A-Nimbus,Recall-2024-Case-A-Nimbus,sterile_barrier,Preventive,Implement escalation pathway,V&V-Team,Critical,2026-02-20,2026-06-13,In-Progress,21 CFR 806.10,Bench-test or audit review,,PENDING,N/A,2015-02-27,Recall Nimbus-2024; units 52328
CAPA-0002,Case-A-Nimbus,Recall-2024-Case-A-Nimbus,sterile_barrier,Preventive,Implement audit trail,Field-Service,Medium,2026-02-22,2026-03-07,Complete,21 CFR 806.10,Bench-test or audit review,,PENDING,N/A,2015-02-27,Recall Nimbus-2024; units 52328
CAPA-0003,Case-B-Ivenix,Recall-2024-Case-B-Ivenix,soc_algorithm_defect,Corrective,Update checklists,Quality,High,2026-01-08,2026-06-18,In-Progress,21 CFR 803.50(a)(1),Bench-test or audit review,,PENDING,5.10.1 → 5.10.2,N/A,Recall Z-0885-2026; units 2
CAPA-0004,Case-A-Nimbus,Recall-2024-Case-A-Nimbus,battery_bms_design,Preventive,Update training materials,Hardware-Team,Medium,2026-02-08,2026-03-04,In-Progress,21 CFR 820.30,Bench-test or audit review,,PENDING,N/A,2015-02-27,Recall Nimbus-2024; units 52328
CAPA-0005,Case-A-Nimbus,Recall-2024-Case-A-Nimbus,battery_bms_design,Preventive,Revise V&V protocol,Hardware-Team,Low,2026-04-13,2026-10-23,Open,21 CFR 806.10,Bench-test or audit review,,PENDING,N/A,2015-02-27,Recall Nimbus-2024; units 52328
CAPA-0006,Case-B-Ivenix,Recall-2024-Case-B-Ivenix,input_validation_gap,Corrective,Implement monitoring,Software-Team,High,2026-04-06,2026-10-23,In-Progress,21 CFR 806.10,Bench-test or audit review,,PENDING,5.10.1 → 5.10.2,N/A,Recall Z-0885-2026; units 2
CAPA-0007,Case-B-Ivenix,Recall-2024-Case-B-Ivenix,input_validation_gap,Preventive,Implement inspection procedure,Manufacturing,Critical,2026-04-02,2026-10-22,In-Progress,21 CFR 820.30,Bench-test or audit review,,PENDING,5.10.1 → 5.10.2,N/A,Recall Z-0885-2026; units 2
CAPA-0008,Case-A-Nimbus,Recall-2024-Case-A-Nimbus,battery_bms_design,Preventive,Redesign firmware component,Field-Service,Medium,2026-01-16,2026-06-18,In-Progress,21 CFR 820.30,Bench-test or audit review,,PENDING,N/A,2015-02-27,Recall Nimbus-2024; units 52328
CAPA-0009,Case-A-Nimbus,Recall-2024-Case-A-Nimbus,battery_bms_design,Corrective,Update training materials,Quality,Medium,2026-01-12,2026-07-10,Verified,21 CFR 820.100,Bench-test or audit review,2026-07-10,YES,N/A,2015-02-27,Recall Nimbus-2024; units 52328
CAPA-0010,Case-B-Ivenix,Recall-2024-Case-B-Ivenix,vv_protocol_gap,Preventive,Implement audit trail,Regulatory,Critical,2026-03-14,2026-08-18,Open,21 CFR 820.30,Bench-test or audit review,,PENDING,5.10.1 → 5.10.2,N/A,Recall Z-0885-2026; units 2
CAPA-0011,Case-B-Ivenix,Recall-2024-Case-B-Ivenix,vv_protocol_gap,Preventive,Revise design review,Regulatory,High,2026-02-15,2026-04-11,In-Progress,21 CFR 803.50(a)(1),Bench-test or audit review,,PENDING,5.10.1 → 5.10.2,N/A,Recall Z-0885-2026; units 2
