data_category,retention_period,legal_basis,review_date
CRM contact data,Contract + 2 years,"Art. 6(1)(f), legitimate interests",2026-01-01
CRM interaction logs,6 months rolling,"Art. 6(1)(f), legitimate interests",2025-09-01
Employee HR records,Contract + 10 years,"HGB §257, AO §147",2026-01-01
Payroll records,Contract + 10 years,AO §147 (tax records),2026-01-01
Health/sick leave data,Contract + 10 years,"Art. 9(2)(b), employment law",2026-01-01
Performance reviews,Contract + 5 years,"Art. 6(1)(b), contract",2025-12-01
Security logs (SIEM),12 months,"Art. 6(1)(f), IT security",2025-09-01
Incident records,5 years,"Art. 6(1)(c), legal obligation",2026-01-01
Analytics events (pseudonymous),90 days rolling,"Art. 6(1)(f), legitimate interests",2025-09-01
Aggregated analytics,2 years,"Art. 6(1)(f), legitimate interests",2026-01-01
Billing/invoice records,Contract + 7 years,HGB §257 (commercial),2026-01-01
Cookie consent records,3 years,"ePrivacy Directive, Art. 6(1)(c)",2026-01-01
DSAR request records,3 years,"Art. 6(1)(c), Art. 12-22 compliance",2026-01-01
Breach notification records,Documentation indefinitely,Art. 33(5),2026-01-01
Job applicant data (successful),Contract + 10 years,HGB §257,2026-01-01
Job applicant data (unsuccessful),6 months,Art. 6(1)(a) consent withdrawn,2025-09-01
Marketing email engagement,Until consent withdrawn + 6 months,"Art. 6(1)(a), consent",2025-09-01
Whistleblowing case records,Case closed + 3 years,HinSchG,2026-01-01
CCTV footage,72 hours overwrite,"Art. 6(1)(f), premises security",2025-06-01
API access logs,90 days,"Art. 6(1)(f), IT security",2025-09-01
