post_id,handle,platform,post_date,post_time_est,follower_count,impressions,engagement_rate,reach,clicks,link_clicks,saves,shares,comments,likes,disclosure_pattern,disclosure_type,disclosure_timing,compliance_status,health_claim_detected,health_claim_category,health_claim_compliant,violation_category,penalty_exposure_usd,review_date,reviewer,resolution_status,resolution_action,resolution_date,legal_hold,notes,campaign_id,content_type,paid_partnership_tag,verbal_disclosure,visual_disclosure
SUPP-0001,@nourishednaturally,Snapchat,2026-01-21,07:30:00,119673,33375,1.65,29094,539,146,271,432,1071,732,"Paid collab sticker only",inadequate,post-content or absent,NON-COMPLIANT,"Vitamin D3 supports immune function (compliant - RCT supported)",health_efficacy,Yes,§255.5,51744,2026-02-24,Casey Park,IN_REVIEW,MONITORING,N/A,No,"Post-CEO-retraction review round",CAMP-2026-007,Long video (>60s),No,No,No
SUPP-0002,@holistic_health_hub,Instagram Stories,2026-03-14,12:00:00,55119,8022,6.79,6868,223,24,204,15,204,1093,"FTC compliant verbal + text",adequate,pre-content,COMPLIANT,"Supports immune health (compliant with RCT)",health_efficacy,Yes,None,0,2026-03-17,Sarah Chen,RESOLVED,NONE,2026-03-21,No,"Supplemental audit batch March 2026",CAMP-2026-012,Static image,No,No,No
SUPP-0003,@guthealth_guru,Snapchat,2026-01-24,09:30:00,10295,4033,2.72,3329,190,62,115,51,25,109,"Ad: at beginning",adequate,pre-content,COMPLIANT,"Science-backed probiotic formula (compliant general claim)",general_wellness,Yes,None,0,2026-02-27,Casey Park,RESOLVED,NONE,2026-02-28,No,"Influencer remediation tracking",CAMP-2026-007,Reel,No,No,Yes
SUPP-0004,@vitamindiary,TikTok,2026-03-11,14:15:00,11470,2575,2.25,1931,69,11,13,22,33,319,"No disclosure",inadequate,post-content or absent,NON-COMPLIANT,"Supports immune health (compliant with RCT)",health_efficacy,Yes,§255.5,51744,2026-03-14,Casey Park,IN_REVIEW,ESCALATE TO CCO,N/A,No,"Sarah Chen escalation review",CAMP-2026-010,Static image,No,No,No
SUPP-0005,@probiotic_life,Reels,2026-03-19,13:45:00,57015,5763,0.59,6085,195,74,170,82,40,440,"Platform Paid Partnership only",inadequate,post-content or absent,NON-COMPLIANT,"Doctor-Formulated for immunity (REQUIRES substantiation per revised audit letter)",general_wellness,No,§255.5,51744,2026-03-22,Jordan Ellis,IN_REVIEW,MONITORING,N/A,No,"Sarah Chen escalation review",CAMP-2026-018,Carousel,Yes,No,No
SUPP-0006,@microbiome_maven,Instagram,2026-02-05,07:45:00,118707,46100,3.92,48751,2655,1554,1128,533,997,4512,"#sponsored in middle",inadequate,post-content or absent,NON-COMPLIANT,"may help immune function (PROHIBITED: 'may')",health_efficacy,No,§255.5,51744,2026-03-08,Sarah Chen,OPEN,MONITORING,N/A,No,"Quarterly disclosure audit",CAMP-2026-015,Short video (<60s),No,No,No
SUPP-0007,@holistic_health_hub,Twitter/X,2026-02-28,22:15:00,101956,22023,2.4,23591,839,188,473,43,679,571,"Platform Paid Partnership only",inadequate,post-content or absent,NON-COMPLIANT,"Clinically demonstrated to enhance immunity (PROHIBITED: requires RCT for all ingredients)",health_efficacy,No,§255.5,51744,2026-03-28,Casey Park,PENDING,ESCALATE TO CCO,N/A,No,"Influencer remediation tracking",CAMP-2026-015,Live session,Yes,No,No
SUPP-0008,@microbiome_maven,LinkedIn,2026-02-21,11:45:00,42110,13361,1.7,12795,124,57,260,67,506,1611,"Disclosure in bio only",inadequate,post-content or absent,NON-COMPLIANT,"Probiotic of choice for digestive health (compliant general claim)",general_wellness,Yes,§255.5,51744,2026-03-24,Jordan Ellis,OPEN,INFLUENCER NOTIFIED,N/A,No,"Influencer remediation tracking",CAMP-2026-012,Short video (<60s),No,No,No
SUPP-0009,@wellnesswithjenna,Instagram Stories,2026-03-15,20:45:00,60709,17705,5.57,17469,848,372,500,171,572,714,"AD text overlay (video)",inadequate,post-content or absent,NON-COMPLIANT,"Helps strengthen immunity (PROHIBITED: 'helps')",general_wellness,No,§255.5,51744,2026-03-18,Jordan Ellis,OPEN,CONTRACT UPDATED,N/A,No,"Casey Park pre-launch clearance",CAMP-2026-004,Blog post,No,No,No
SUPP-0010,@fitandfueled,Facebook,2026-01-08,12:30:00,38930,21252,5.51,21602,1404,398,561,117,143,2012,"No disclosure",inadequate,post-content or absent,NON-COMPLIANT,"ProBio+ clinically studied for immunity (compliant phrasing)",general_wellness,Yes,§255.5,51744,2026-02-11,Alex Rivera (Ext.),PENDING,INFLUENCER NOTIFIED,N/A,No,"Quarterly disclosure audit",CAMP-2026-015,Story,No,No,No
SUPP-0011,@nutriscience,Instagram Stories,2026-02-26,20:00:00,92033,22998,1.74,21338,156,18,163,303,820,3152,"#gifted in hashtags",inadequate,post-content or absent,NON-COMPLIANT,"Clinically demonstrated to enhance immunity (PROHIBITED: requires RCT for all ingredients)",health_efficacy,No,§255.5,51744,2026-03-28,Jordan Ellis,OPEN,UPDATE DISCLOSURE,N/A,No,"Post-CEO-retraction review round",CAMP-2026-002,Live session,No,No,No
SUPP-0012,@microbiome_maven,Twitter/X,2026-03-12,17:15:00,49180,26206,5.65,21329,1926,554,223,199,441,2261,"#ad at post beginning",adequate,pre-content,COMPLIANT,"L. acidophilus NCFM for immune health (compliant - 2 human RCTs)",health_efficacy,Yes,None,0,2026-03-15,Casey Park,RESOLVED,NONE,2026-03-19,No,"Quarterly disclosure audit",CAMP-2026-019,Static image,No,No,Yes
SUPP-0013,@nutriscience,Twitter/X,2026-02-06,23:45:00,38865,5147,1.85,4278,208,37,31,36,11,599,"Disclosure at post end",inadequate,post-content or absent,NON-COMPLIANT,"B. longum promotes digestive wellness (insufficient evidence - no human RCT)",health_efficacy,No,§255.5,51744,2026-03-09,Sarah Chen,IN_REVIEW,REMOVE CLAIM,N/A,No,"Influencer remediation tracking",CAMP-2026-003,Blog post,No,No,No
