company_id,company_name,industry_segment,notice_received_date,notice_type,violations_alleged,penalty_per_violation_usd,total_penalty_usd,resolution_type,resolution_date,consent_order_provisions,advertising_claims_flagged,evidence_standard_failed,disclosure_issues,status
CO-0001,Supplement Co. 1,probiotic_supplement,2023-04-23,Notice of Penalty Offenses (Substantiation),4,51744.0,0.0,voluntary_correction,2024-10-21,Prohibition on further violations; compliance monitoring; consumer redress,scientifically proven without evidence; insider reviews undisclosed; results not typical disclaimer; may help support (prohibited qualifier),RCT required but not available,NO,PENDING
CO-0002,Supplement Co. 2,energy_supplement,2023-04-25,Notice of Penalty Offenses (Substantiation),1,51744.0,0.0,ongoing_investigation,2024-12-07,Prohibition on further violations; compliance monitoring; consumer redress,clinically demonstrated without RCT,RCT required but not available,YES,RESOLVED
CO-0003,Supplement Co. 3,weight_loss_supplement,2023-04-27,Notice of Penalty Offenses (Substantiation),7,51744.0,0.0,ongoing_investigation,2024-07-03,Prohibition on further violations; compliance monitoring; consumer redress,Made in USA false claim; may help support (prohibited qualifier); scientifically proven without evidence; preliminary studies (prohibited qualifier); results not typical disclaimer; insider reviews undisclosed; clinically demonstrated without RCT,RCT required but not available,NO,OPEN
CO-0004,Supplement Co. 4,immune_supplement,2023-04-20,Notice of Penalty Offenses (Substantiation),7,51744.0,724416.0,civil_penalty_settlement,2024-03-18,Prohibition on further violations; compliance monitoring; consumer redress,clinically demonstrated without RCT; may help support (prohibited qualifier); scientifically proven without evidence; promising results (prohibited qualifier); biodegradable false claim; insider reviews undisclosed; preliminary studies (prohibited qualifier),RCT required but not available,NO,RESOLVED
CO-0005,Supplement Co. 5,probiotic_supplement,2023-04-23,Notice of Penalty Offenses (Substantiation),1,51744.0,724416.0,civil_penalty_settlement,2024-02-23,Prohibition on further violations; compliance monitoring; consumer redress,undisclosed paid endorsement,RCT required but not available,NO,PENDING
CO-0006,Supplement Co. 6,energy_supplement,2023-04-12,Notice of Penalty Offenses (Substantiation),1,51744.0,465696.0,civil_penalty_settlement,2024-10-12,Prohibition on further violations; compliance monitoring; consumer redress,review suppression,RCT required but not available,NO,RESOLVED
CO-0007,Supplement Co. 7,cognitive_supplement,2023-04-14,Notice of Penalty Offenses (Substantiation),1,51744.0,103488.0,civil_penalty_settlement,2024-12-16,Prohibition on further violations; compliance monitoring; consumer redress,Made in USA false claim,RCT required but not available,NO,OPEN
CO-0008,Supplement Co. 8,weight_loss_supplement,2023-04-13,Notice of Penalty Offenses (Substantiation),1,51744.0,0.0,no_action_letter,2024-04-27,None,promising results (prohibited qualifier),RCT required but not available,NO,RESOLVED
CO-0009,Supplement Co. 9,weight_loss_supplement,2023-04-20,Notice of Penalty Offenses (Substantiation),6,51744.0,0.0,no_action_letter,2024-07-10,None,insider reviews undisclosed; undisclosed paid endorsement; fake reviews; clinically demonstrated without RCT; review suppression; may help support (prohibited qualifier),RCT required but not available,NO,PENDING
CO-0010,Supplement Co. 10,energy_supplement,2023-04-26,Notice of Penalty Offenses (Substantiation),2,51744.0,103488.0,civil_penalty_settlement,2024-04-26,Prohibition on further violations; compliance monitoring; consumer redress,preliminary studies (prohibited qualifier); may help support (prohibited qualifier),RCT required but not available,NO,PENDING
CO-0011,Supplement Co. 11,anti_aging_supplement,2023-04-13,Notice of Penalty Offenses (Substantiation),2,51744.0,0.0,consent_order,2024-12-08,Prohibition on further violations; compliance monitoring; consumer redress,scientifically proven without evidence; biodegradable false claim,RCT required but not available,YES,RESOLVED
CO-0012,Supplement Co. 12,beauty_supplement,2023-04-26,Notice of Penalty Offenses (Substantiation),8,51744.0,0.0,ongoing_investigation,2024-01-22,Prohibition on further violations; compliance monitoring; consumer redress,results not typical disclaimer; insider reviews undisclosed; review suppression; scientifically proven without evidence; fake reviews; clinically demonstrated without RCT; Made in USA false claim; may help support (prohibited qualifier),RCT required but not available,YES,RESOLVED
CO-0013,Supplement Co. 13,cognitive_supplement,2023-04-14,Notice of Penalty Offenses (Substantiation),4,51744.0,0.0,ongoing_investigation,2024-02-11,Prohibition on further violations; compliance monitoring; consumer redress,promising results (prohibited qualifier); Made in USA false claim; fake reviews; may help support (prohibited qualifier),RCT required but not available,NO,PENDING
CO-0014,Supplement Co. 14,anti_aging_supplement,2023-04-10,Notice of Penalty Offenses (Substantiation),8,51744.0,362208.0,civil_penalty_settlement,2024-03-16,Prohibition on further violations; compliance monitoring; consumer redress,Made in USA false claim; scientifically proven without evidence; fake reviews; biodegradable false claim; preliminary studies (prohibited qualifier); may help support (prohibited qualifier); promising results (prohibited qualifier); undisclosed paid endorsement,RCT required but not available,NO,PENDING
CO-0015,Supplement Co. 15,energy_supplement,2023-04-21,Notice of Penalty Offenses (Substantiation),2,51744.0,0.0,ongoing_investigation,2024-09-16,Prohibition on further violations; compliance monitoring; consumer redress,Made in USA false claim; insider reviews undisclosed,RCT required but not available,NO,RESOLVED
