finding_id,article,severity,description,status,remediation_due
F-001,Art. 30(1),CRITICAL,RoPA ACT-001 missing recipient_categories,OPEN,2025-04-01
F-002,Art. 30(1),CRITICAL,RoPA ACT-002 missing security_measures,OPEN,2025-04-01
F-003,Art. 30(1),CRITICAL,RoPA ACT-007 missing retention_periods,OPEN,2025-04-01
F-004,Art. 33(3),CRITICAL,Breach notification draft missing 3 required fields,OPEN,2025-03-20
F-005,Art. 12(3),SIGNIFICANT,Multiple DSAR overdue in queue,OPEN,2025-03-30
F-006,Art. 37(1),SIGNIFICANT,No formal DPO mandatory appointment assessment,OPEN,2025-04-15
F-007,Art. 35(1),SIGNIFICANT,HR Analytics DPIA not completed before deployment,OPEN,2025-04-30
F-008,Art. 46(1),SIGNIFICANT,Mixpanel SCC not executed (non-conforming transfer),OPEN,2025-04-15
F-009,Art. 13(1),MINOR,Privacy notice lacks Art. 22 automated decision disclosure,OPEN,2025-05-01
F-010,Art. 32(1),MINOR,API key MFA requirement not enforced prior to breach,RESOLVED,2025-03-15
