package,version,ecosystem,license,cve,severity,action
serde,1.0.197,cargo,MIT,,,keep
tokio,1.37.0,cargo,MIT,,,keep
clap,4.5.4,cargo,Apache-2.0 OR MIT,,,keep
anyhow,1.0.81,cargo,MIT OR Apache-2.0,,,keep
byteorder,1.5.0,cargo,MIT OR Unlicense,,,keep
rand,0.8.5,cargo,MIT OR Apache-2.0,,,keep
log,0.4.21,cargo,MIT OR Apache-2.0,,,keep
lib-tinypath,1.4.2,cargo,MIT,CVE-2026-21847,HIGH,pin to 1.4.1
golang.org/x/sync,v0.7.0,gomod,BSD-3-Clause,,,keep
golang.org/x/sys,v0.19.0,gomod,BSD-3-Clause,,,keep
github.com/spf13/cobra,v1.8.0,gomod,Apache-2.0,,,keep
github.com/sirupsen/logrus,v1.9.3,gomod,MIT,,,keep
numpy,1.26.4,pypi,BSD-3-Clause,,,keep
pydantic,2.7.0,pypi,MIT,,,keep
httpx,0.27.0,pypi,BSD-3-Clause,,,keep
typer,0.12.0,pypi,MIT,,,keep
rich,13.7.1,pypi,MIT,,,keep
colorz,2.3.1,pypi,MIT,,,drop — suspected typosquat of colorz-py
lodash,4.17.21,npm,MIT,,,keep
axios,1.6.8,npm,MIT,,,keep
commander,12.0.0,npm,MIT,,,keep
chalk,5.3.0,npm,MIT,,,keep
padding-lib-0000,1.0.0,npm,BSD-3-Clause,,,keep
padding-lib-0001,1.1.0,gomod,BSD-2-Clause,,,keep
padding-lib-0002,1.2.0,npm,ISC,,,keep
padding-lib-0003,1.3.0,pypi,LGPL-2.1-or-later,,,keep
padding-lib-0004,1.4.0,npm,MIT,,,keep
padding-lib-0005,1.5.0,gomod,EUPL-1.2,,,keep
padding-lib-0006,1.6.0,gomod,CC0-1.0,,,keep
padding-lib-0007,1.7.0,gomod,MIT,,,keep
padding-lib-0008,1.8.0,cargo,Unlicense,,,keep
padding-lib-0009,1.9.0,pypi,BSD-3-Clause,,,keep
padding-lib-0010,1.10.0,gomod,CC0-1.0,,,keep
padding-lib-0011,1.11.0,cargo,EPL-2.0,,,keep
padding-lib-0012,1.12.0,gomod,BSD-2-Clause,,,keep
padding-lib-0013,1.13.0,cargo,Unlicense,,,keep
padding-lib-0014,1.14.0,gomod,BSD-2-Clause,,,keep
padding-lib-0015,1.15.0,cargo,Apache-2.0,,,keep
padding-lib-0016,1.16.0,npm,MIT,,,keep
padding-lib-0017,1.17.0,npm,BSD-3-Clause,,,keep
padding-lib-0018,1.18.0,gomod,MPL-2.0,,,keep
padding-lib-0019,1.19.0,gomod,BSD-2-Clause,,,keep
padding-lib-0020,1.0.0,npm,CDDL-1.0,,,keep
padding-lib-0021,1.1.0,gomod,Unlicense,,,keep
padding-lib-0022,1.2.0,gomod,GPL-2.0-only,,,keep
padding-lib-0023,1.3.0,pypi,GPL-2.0-only,,,keep
padding-lib-0024,1.4.0,cargo,ISC,,,keep
padding-lib-0025,1.5.0,npm,MPL-2.0,,,keep
padding-lib-0026,1.6.0,gomod,BSD-2-Clause,,,keep
padding-lib-0027,1.7.0,cargo,Unlicense,,,keep
padding-lib-0028,1.8.0,npm,MIT,,,keep
padding-lib-0029,1.9.0,npm,BSD-3-Clause,,,keep
padding-lib-0030,1.10.0,npm,LGPL-2.1-or-later,,,keep
padding-lib-0031,1.11.0,gomod,MPL-2.0,,,keep
padding-lib-0032,1.12.0,npm,BSD-3-Clause,,,keep
padding-lib-0033,1.13.0,npm,Unlicense,,,keep
padding-lib-0034,1.14.0,pypi,Apache-2.0,,,keep
padding-lib-0035,1.15.0,npm,BSD-2-Clause,,,keep
padding-lib-0036,1.16.0,pypi,MIT,,,keep
padding-lib-0037,1.17.0,gomod,BSD-2-Clause,,,keep
padding-lib-0038,1.18.0,pypi,BSD-3-Clause,,,keep
padding-lib-0039,1.19.0,cargo,LGPL-2.1-or-later,,,keep
padding-lib-0040,1.0.0,npm,Unlicense,,,keep
padding-lib-0041,1.1.0,npm,Apache-2.0,,,keep
padding-lib-0042,1.2.0,cargo,Apache-2.0,,,keep
padding-lib-0043,1.3.0,pypi,CDDL-1.0,,,keep
padding-lib-0044,1.4.0,gomod,Apache-2.0,,,keep
padding-lib-0045,1.5.0,npm,LGPL-2.1-or-later,,,keep
padding-lib-0046,1.6.0,gomod,CDDL-1.0,,,keep
padding-lib-0047,1.7.0,cargo,EUPL-1.2,,,keep
padding-lib-0048,1.8.0,cargo,EPL-2.0,,,keep
padding-lib-0049,1.9.0,gomod,GPL-2.0-only,,,keep
padding-lib-0050,1.10.0,npm,MIT,,,keep
padding-lib-0051,1.11.0,npm,EUPL-1.2,,,keep
padding-lib-0052,1.12.0,pypi,BSD-3-Clause,,,keep
padding-lib-0053,1.13.0,cargo,BSD-3-Clause,,,keep
padding-lib-0054,1.14.0,gomod,GPL-3.0-or-later,,,keep
padding-lib-0055,1.15.0,pypi,GPL-3.0-or-later,,,keep
padding-lib-0056,1.16.0,gomod,MIT,,,keep
padding-lib-0057,1.17.0,gomod,ISC,,,keep
padding-lib-0058,1.18.0,pypi,CDDL-1.0,,,keep
