regulation_section,regulation_title,effective_date,violation_type,penalty_per_violation_usd,penalty_notes,applies_to_health_claims,applies_to_endorsements,applies_to_reviews,applies_to_origin_claims,applies_to_environmental_claims,key_requirement_summary,probio_plus_applicability
16 CFR §255.1,Endorsement Guides — General,"July 26, 2023",False/misleading endorsement,51744.0,per violation per 16 CFR Part 465 enforcement,True,True,True,False,False,Endorser's statements must be substantiated and reflect genuine views,Dr. Wellness Network endorsement requires disclosure and substantiation
16 CFR §255.2,Consumer Endorsements,"July 26, 2023",Atypical testimonial without disclosure,51744.0,per violation,True,True,True,False,False,Testimonials must represent typical consumer results or disclose typical results,4.9/5 stars claim; customer testimonial 'cured my IBS'
16 CFR §255.3,Expert Endorsements,"July 26, 2023",Unsubstantiated expert claim; undisclosed material connection,51744.0,per violation,True,True,False,False,False,Expert must have evaluated the product; material connection must be disclosed,Doctor-formulated and Doctor-recommended claims
16 CFR §255.5,Disclosure of Material Connections,"July 26, 2023",Undisclosed material connection,51744.0,per violation,False,True,False,False,False,Connection that might materially affect credibility must be clearly and conspicuously disclosed,All influencer partnerships; Dr. Wellness Network ($5k + product)
16 CFR §465.2,Fake or False Consumer Reviews,"October 21, 2024",Fake/misrepresenting review,51744.0,per violation,False,False,True,False,False,Prohibits writing/selling fake reviews misrepresenting existence or experience,Review collection protocol must be verified; no fake reviews
16 CFR §465.4,Buying Positive Reviews,"October 21, 2024",Compensated reviews without disclosure,51744.0,per violation,False,False,True,False,False,Prohibits conditioned compensation for positive review content,Influencer review incentive structure must not condition on positive content
16 CFR §465.5,Insider Reviews Without Disclosure,"October 21, 2024",Employee review without disclosure,51744.0,per violation,False,False,True,False,False,Company insiders must disclose material connection when reviewing company products,In-house nutritionist proposed review must disclose employment
16 CFR §465.7,Review Suppression,"October 21, 2024",Suppression through threats/intimidation,51744.0,per violation,False,False,True,False,False,Prohibits unfounded legal threats or intimidation to suppress reviews,VitaCore review management policy must explicitly prohibit this
16 CFR §260.1,Green Guides — General Claims,2012 (current),Unqualified general environmental benefit claim,51744.0,per violation,False,False,False,False,True,Unqualified eco-friendly/sustainable claims are likely deceptive,Eco-Friendly Packaging claim on ProBio+ label
16 CFR §260.8,Biodegradable Claims,2012 (current),Unqualified biodegradable claim that fails one-year test,51744.0,per violation,False,False,False,False,True,Must completely break down within one year after customary disposal,Biodegradable Capsule Shells claim — HDPE fails one-year standard
16 CFR §260.12,Recyclable Claims,2012 (current),Unqualified recyclable claim below 60% facility access,51744.0,per violation,False,False,False,False,True,Recyclable requires 60% (substantial majority) consumer access to recycling facilities,Recyclable Packaging claim — foil liner not recyclable in most communities
16 CFR §323.1,Made in USA Labeling Rule — Standard,"August 13, 2021",False all-or-virtually-all Made in USA claim,2000000.0,Kubota precedent (January 2024); $2M aggregate,False,False,False,True,False,All significant processing and all or virtually all components must be US-origin,Made in USA claim at risk — Danish Chr. Hansen strains are key foreign components
FTC Act §5 / Penalty Offenses (i),Lacking Evidence for Product Claims,April 2023 Notice,Product claim without competent reliable evidence,51744.0,per violation after Notice of Penalty Offenses,True,False,False,False,False,Advertisers must have evidence before making claims; post-hoc rationalization not acceptable,All health claims for ProBio+ must be pre-substantiated
FTC Act §5 / Penalty Offenses (v),False Proof Claims,April 2023 Notice,Scientifically/clinically proven without adequate evidence,51744.0,per violation,True,False,False,False,False,Cannot claim 'clinically proven' or 'scientifically proven' without adequate RCT evidence,Clinically demonstrated claim; scientifically proven B-vitamins claim
16 CFR §255.5 / .com Disclosures,Digital Disclosure Standards,"July 26, 2023",Insufficient disclosure in digital advertising,51744.0,per violation,False,True,False,False,False,Clear and conspicuous; difficult to miss; understandable by ordinary consumers,Hashtag-buried disclosures and platform-tool-only disclosures are insufficient
