field_number,field_name,format,mandatory_utc,notes
1,Transaction Reference Number,Up to 52 alphanumeric,N,Unique identifier for the transaction
2,Trading Venue Transaction ID,Up to 52 alphanumeric,N,Exchange-assigned ID
3,Executing Entity ID,LEI 20 alphanumeric,N,Legal Entity Identifier
4,Investment Firm/Branch ID,LEI 20 alphanumeric,N,Reporting entity LEI
5,Buyer/Seller LEI,LEI 20 alphanumeric,N,Counterparty identifier
14,Buyer Client ID,Up to 50 characters,N,Buy-side client reference
16,Seller Client ID,Up to 50 characters,N,Sell-side client reference
26,Price,"Decimal up to 18,13",N,Transaction price
27,Price Currency,ISO 4217 3-char,N,Currency of price field
28,Trading date and time,ISO 8601 UTC datetime,Y,MANDATORY UTC. DST transitions must be converted. Format: YYYY-MM-DDTHH:MM:SS[.mmm]Z. MiFID I allowed local time; MiFIR requires UTC. FCA Market Watch 59 identifies Field 28 as the most commonly mis-reported timestamp field.
29,Trade Date,ISO 8601 date YYYY-MM-DD,N,Date portion of transaction
30,Trading Capacity,DEAL/MTCH/AOTC,N,Proprietary/matched/agency
31,Quantity,Integer or decimal,N,Number of units traded
33,Venue,MIC code or XOFF/SINT,N,Trading venue identifier
36,Instrument Identification Code,ISIN 12 chars,N,Financial instrument code
44,Transmission of Order,True/False,N,Whether order was transmitted
58,Branch Membership Country,ISO 3166-1 alpha-2,N,Country code
60,Total Commission,Decimal,N,Transaction commission amount
61,FX Rate,Decimal,N,Exchange rate if applicable
63,Complex Trade Component ID,Up to 35 alphanumeric,N,For linked transactions
