assessment_id,facility_id,facility_type,state,device_serial,software_version,battery_health_pct,battery_cycles,last_service_date,assessment_date,risk_category,action_required,update_completed,battery_replaced,post_update_version,notes
ASMNT-00001,FAC-CO-205,Home-Health,CO,IVX-294293,5.10.0,92.3,57,2024-12-03,2025-12-04,LOW,UPDATE_SOFTWARE_ROUTINE,YES,NO,5.10.2,Battery health 92.3%; 57 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00002,FAC-NV-252,Hospital-Community,NV,IVX-428211,5.9.3,85.6,162,2025-07-10,2025-11-25,LOW,UPDATE_SOFTWARE_ROUTINE,YES,NO,5.10.2,Battery health 85.6%; 162 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00003,FAC-MN-667,Long-Term-Care,MN,IVX-297477,5.10.0,71.0,14,2023-07-01,2025-12-28,MEDIUM,UPDATE_SOFTWARE_PRIORITY,NO,NO,PENDING,Battery health 71.0%; 14 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00004,FAC-NV-346,Hospital-Community,NV,IVX-717788,5.10.0,64.0,101,2024-04-17,2025-12-21,HIGH,REPLACE_BATTERY_THEN_UPDATE,YES,YES,5.10.2,Battery health 64.0%; 101 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00005,FAC-OR-525,Hospital-Academic,OR,IVX-261447,5.9.3,72.3,138,2024-11-09,2025-12-16,MEDIUM,UPDATE_SOFTWARE_PRIORITY,YES,NO,5.10.2,Battery health 72.3%; 138 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00006,FAC-MN-277,Home-Health,MN,IVX-649516,5.10.1,63.6,262,2024-11-26,2025-12-11,HIGH,REPLACE_BATTERY_THEN_UPDATE,NO,NO,PENDING,Battery health 63.6%; 262 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00007,FAC-MI-314,Long-Term-Care,MI,IVX-443435,5.10.0,97.9,73,2025-01-09,2025-11-19,LOW,UPDATE_SOFTWARE_ROUTINE,YES,NO,5.10.2,Battery health 97.9%; 73 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00008,FAC-OR-885,Home-Health,OR,IVX-864951,5.9.3,48.9,207,2024-05-18,2025-12-14,HIGH,REPLACE_BATTERY_THEN_UPDATE,YES,YES,5.10.2,Battery health 48.9%; 207 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00009,FAC-NV-453,Home-Health,NV,IVX-639732,5.10.1,88.6,194,2025-07-23,2025-12-21,LOW,UPDATE_SOFTWARE_ROUTINE,YES,NO,5.10.2,Battery health 88.6%; 194 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00010,FAC-NE-654,Long-Term-Care,NE,IVX-132219,5.10.1,77.5,267,2025-06-05,2025-11-26,MEDIUM,UPDATE_SOFTWARE_PRIORITY,NO,NO,PENDING,Battery health 77.5%; 267 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00011,FAC-FL-974,Hospital-Academic,FL,IVX-880859,5.10.1,66.8,314,2024-07-08,2025-12-28,HIGH,REPLACE_BATTERY_THEN_UPDATE,YES,YES,5.10.2,Battery health 66.8%; 314 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00012,FAC-IL-845,Home-Health,IL,IVX-255965,5.10.1,76.6,319,2024-12-28,2025-11-02,MEDIUM,UPDATE_SOFTWARE_PRIORITY,YES,NO,5.10.2,Battery health 76.6%; 319 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00013,FAC-MN-867,Hospital-Academic,MN,IVX-197932,5.10.1,99.6,209,2023-04-23,2025-12-27,LOW,UPDATE_SOFTWARE_ROUTINE,YES,NO,5.10.2,Battery health 99.6%; 209 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00014,FAC-CA-790,Long-Term-Care,CA,IVX-250521,5.10.0,57.1,287,2023-01-03,2025-11-24,HIGH,REPLACE_BATTERY_THEN_UPDATE,YES,YES,5.10.2,Battery health 57.1%; 287 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00015,FAC-WI-687,Outpatient-Infusion,WI,IVX-944674,5.10.1,64.9,109,2025-04-17,2025-11-05,HIGH,REPLACE_BATTERY_THEN_UPDATE,YES,YES,5.10.2,Battery health 64.9%; 109 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00016,FAC-TX-333,Hospital-Community,TX,IVX-477291,5.10.1,73.0,10,2024-09-04,2025-11-25,MEDIUM,UPDATE_SOFTWARE_PRIORITY,YES,NO,5.10.2,Battery health 73.0%; 10 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00017,FAC-GA-670,Hospital-Community,GA,IVX-166877,5.10.0,50.5,266,2025-04-03,2025-12-27,HIGH,REPLACE_BATTERY_THEN_UPDATE,YES,YES,5.10.2,Battery health 50.5%; 266 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00018,FAC-NV-862,Outpatient-Infusion,NV,IVX-451283,5.10.0,82.4,289,2025-12-16,2025-11-28,LOW,UPDATE_SOFTWARE_ROUTINE,YES,NO,5.10.2,Battery health 82.4%; 289 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00019,FAC-TX-981,Home-Health,TX,IVX-431521,5.10.0,71.9,192,2023-01-01,2025-12-18,MEDIUM,UPDATE_SOFTWARE_PRIORITY,YES,NO,5.10.2,Battery health 71.9%; 192 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00020,FAC-IL-464,Long-Term-Care,IL,IVX-616601,5.10.1,55.6,108,2025-08-04,2025-11-06,HIGH,REPLACE_BATTERY_THEN_UPDATE,YES,YES,5.10.2,Battery health 55.6%; 108 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00021,FAC-WI-465,Outpatient-Infusion,WI,IVX-233285,5.10.0,88.4,283,2024-05-01,2025-11-07,LOW,UPDATE_SOFTWARE_ROUTINE,YES,NO,5.10.2,Battery health 88.4%; 283 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00022,FAC-OR-159,Hospital-Community,OR,IVX-669177,5.9.3,71.4,29,2024-03-28,2025-11-14,MEDIUM,UPDATE_SOFTWARE_PRIORITY,NO,NO,PENDING,Battery health 71.4%; 29 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00023,FAC-WI-661,Hospital-Community,WI,IVX-573716,5.10.1,81.9,182,2023-08-13,2025-11-28,LOW,UPDATE_SOFTWARE_ROUTINE,NO,NO,PENDING,Battery health 81.9%; 182 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00024,FAC-IL-139,Hospital-Community,IL,IVX-761705,5.9.2,67.2,299,2023-07-16,2025-12-19,HIGH,REPLACE_BATTERY_THEN_UPDATE,YES,YES,5.10.2,Battery health 67.2%; 299 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00025,FAC-CA-397,Outpatient-Infusion,CA,IVX-236675,5.10.1,63.6,190,2025-09-22,2025-11-07,HIGH,REPLACE_BATTERY_THEN_UPDATE,YES,YES,5.10.2,Battery health 63.6%; 190 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00026,FAC-MS-749,Home-Health,MS,IVX-744545,5.10.0,79.3,261,2025-10-12,2025-12-12,MEDIUM,UPDATE_SOFTWARE_PRIORITY,YES,NO,5.10.2,Battery health 79.3%; 261 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00027,FAC-CO-131,Hospital-Community,CO,IVX-929225,5.9.3,67.1,82,2025-09-01,2025-11-12,HIGH,REPLACE_BATTERY_THEN_UPDATE,YES,YES,5.10.2,Battery health 67.1%; 82 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00028,FAC-TX-392,Outpatient-Infusion,TX,IVX-413935,5.9.3,47.7,63,2025-03-06,2025-12-28,HIGH,REPLACE_BATTERY_THEN_UPDATE,NO,NO,PENDING,Battery health 47.7%; 63 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00029,FAC-ID-972,Hospital-Academic,ID,IVX-987096,5.10.0,73.8,168,2024-02-22,2025-11-13,MEDIUM,UPDATE_SOFTWARE_PRIORITY,YES,NO,5.10.2,Battery health 73.8%; 168 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00030,FAC-CA-400,Outpatient-Infusion,CA,IVX-782492,5.10.0,55.3,188,2023-09-17,2025-11-15,HIGH,REPLACE_BATTERY_THEN_UPDATE,YES,YES,5.10.2,Battery health 55.3%; 188 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00031,FAC-CO-712,Long-Term-Care,CO,IVX-600929,5.9.3,46.4,109,2023-02-26,2025-11-03,HIGH,REPLACE_BATTERY_THEN_UPDATE,YES,YES,5.10.2,Battery health 46.4%; 109 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00032,FAC-FL-636,Hospital-Community,FL,IVX-585623,5.10.0,77.1,317,2024-12-03,2025-11-02,MEDIUM,UPDATE_SOFTWARE_PRIORITY,NO,NO,PENDING,Battery health 77.1%; 317 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00033,FAC-NE-144,Hospital-Academic,NE,IVX-119534,5.10.1,80.5,57,2025-03-13,2025-11-23,LOW,UPDATE_SOFTWARE_ROUTINE,YES,NO,5.10.2,Battery health 80.5%; 57 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00034,FAC-VA-135,Outpatient-Infusion,VA,IVX-451671,5.10.1,78.5,295,2023-08-26,2025-12-01,MEDIUM,UPDATE_SOFTWARE_PRIORITY,NO,NO,PENDING,Battery health 78.5%; 295 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00035,FAC-NE-545,Hospital-Community,NE,IVX-679508,5.10.0,73.7,316,2023-02-03,2025-12-23,MEDIUM,UPDATE_SOFTWARE_PRIORITY,YES,NO,5.10.2,Battery health 73.7%; 316 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00036,FAC-WA-959,Hospital-Academic,WA,IVX-692162,5.10.1,49.5,62,2023-02-14,2025-11-01,HIGH,REPLACE_BATTERY_THEN_UPDATE,YES,YES,5.10.2,Battery health 49.5%; 62 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00037,FAC-ID-894,Outpatient-Infusion,ID,IVX-835624,5.10.2,47.4,177,2025-10-20,2025-12-28,HIGH,REPLACE_BATTERY_THEN_UPDATE,YES,YES,5.10.2,Battery health 47.4%; 177 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00038,FAC-MS-436,Home-Health,MS,IVX-570015,5.10.1,49.3,79,2025-12-07,2025-11-11,HIGH,REPLACE_BATTERY_THEN_UPDATE,YES,YES,5.10.2,Battery health 49.3%; 79 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00039,FAC-IL-493,Long-Term-Care,IL,IVX-175849,5.10.1,49.0,206,2025-09-22,2025-11-03,HIGH,REPLACE_BATTERY_THEN_UPDATE,YES,YES,5.10.2,Battery health 49.0%; 206 cycles; Recall Z-0885-2026; Product LVP-SW-0005
