post_id,handle,platform,post_date,post_time_est,follower_count,impressions,engagement_rate,disclosure_pattern,compliance_status,health_claim_detected,health_claim_compliant,penalty_exposure_usd,review_date,reviewer,action_required,notes
POST-0001,@vitalitycoach,Instagram,2026-01-25,09:15:00,37497,8834,1.82,"Ad: at beginning",NON-COMPLIANT,"Helps strengthen immunity (PROHIBITED - 'helps')",No,51744,2026-02-28,Jordan Ellis,UPDATE DISCLOSURE,Follow up required before next post
POST-0002,@fitandfueled,Reels,2026-01-20,15:45:00,21002,6740,6.02,"#ad at post beginning",NON-COMPLIANT,"supports gut microbiome (compliant)",Yes,51744,2026-02-25,Sarah Chen,UPDATE DISCLOSURE,Verbal reminder sent to influencer
POST-0003,@probiotic_life,Instagram Stories,2026-01-16,22:45:00,43681,17094,3.86,"#ad at post beginning",NON-COMPLIANT,"supports gut microbiome (compliant)",Yes,51744,2026-02-21,Casey Park,UPDATE DISCLOSURE,Influencer agreement updated
POST-0004,@wellnesswithjenna,Reels,2026-02-01,19:00:00,65620,16109,4.74,"Ad: at beginning",NON-COMPLIANT,"Clinically demonstrated (PROHIBITED if no RCT)",No,51744,2026-03-06,Sarah Chen,UPDATE DISCLOSURE,Corrected in subsequent post
POST-0005,@wellnesswithjenna,Reels,2026-03-24,08:30:00,93456,33377,3.28,"#ad first hashtag",COMPLIANT,"Clinically demonstrated (PROHIBITED if no RCT)",No,0,2026-03-28,Jordan Ellis,NONE,Compliant - no action needed
POST-0006,@nourishednaturally,Reels,2026-02-10,11:15:00,50333,11958,4.7,"No disclosure",NON-COMPLIANT,"Gut health support (compliant with RCT)",Yes,51744,2026-03-15,Jordan Ellis,UPDATE DISCLOSURE,Follow up required before next post
POST-0007,@wellnesswithjenna,Reels,2026-01-27,21:45:00,74740,32235,2.33,"Platform Paid Partnership only",COMPLIANT,"Supports immune health (compliant)",Yes,0,2026-02-28,Casey Park,NONE,Influencer agreement updated
POST-0008,@vitalitycoach,TikTok,2026-01-21,14:00:00,26224,8881,2.36,"#sponsored in middle",NON-COMPLIANT,"promising results (PROHIBITED)",No,51744,2026-02-26,Jordan Ellis,UPDATE DISCLOSURE,Corrected in subsequent post
POST-0009,@cleanwellness,TikTok,2026-03-24,14:15:00,38745,7436,3.09,"#sponsored in middle",NON-COMPLIANT,"No health claim made (compliant)",Yes,51744,2026-03-28,Casey Park,UPDATE DISCLOSURE,Influencer agreement updated
POST-0010,@wellnesswithjenna,YouTube,2026-01-07,09:15:00,79906,20574,6.06,"Verbal only (video)",COMPLIANT,"Helps strengthen immunity (PROHIBITED - 'helps')",No,0,2026-02-12,Casey Park,NONE,Corrected in subsequent post
