asset_tag,device_category,manufacturer,model_name,serial_number,acquisition_year,condition_rating,location_ward
STA-ASSET-0140,EP Recording System,Siemens Healthineers,EP R-296,EPR-3XJVOE,2015,Fair,Storage
STA-ASSET-0154,Ventilator,GE Healthcare,Vent-286,VNT-JY32HO,2021,Excellent,Storage
STA-ASSET-0059,Defibrillator,GE Healthcare,Defi-805,DEF-T8XKOD,2020,Excellent,Cardiac ICU
STA-ASSET-0001,Echocardiograph,Zoll Medical,Echo-626,ECH-A1B2C3,2022,Good,Cath Lab
STA-ASSET-0165,Defibrillator,GE Healthcare,Defi-606,DEF-BGQFQE,2015,Excellent,Electrophysiology Lab
STA-ASSET-0108,Ventilator,GE Healthcare,Vent-919,VNT-1VGLL4,2019,Poor,Echo Suite
STA-ASSET-0167,Defibrillator,Medtronic,Defi-638,DEF-SJ6VV8,2024,Fair,Cardiac Ward A
STA-ASSET-0110,Defibrillator,Philips,Defi-638,DEF-HS32UY,2023,Good,Cardiac Ward A
STA-ASSET-0077,Ventilator,Zoll Medical,Vent-982,VNT-6UTIOS,2018,Excellent,Storage
STA-ASSET-0067,Ventilator,Zoll Medical,Vent-823,VNT-NF5CA7,2025,Poor,Cardiac Ward A
STA-ASSET-0145,Infusion Pump,Medtronic,Infu-381,INF-O0IPFG,2022,Excellent,Electrophysiology Lab
STA-ASSET-0082,Cardiac Monitor,Medtronic,Card-133,MON-QW4C6L,2019,Excellent,Storage
STA-ASSET-0160,Defibrillator,Medtronic,Defi-340,DEF-NPVCUB,2022,Poor,Cardiac Ward B
STA-ASSET-0051,Ventilator,Philips,Vent-679,VNT-ZE4EX6,2017,Good,Echo Suite
STA-ASSET-0034,EP Recording System,Mindray,EP R-960,EPR-TXRGN7,2021,Fair,Electrophysiology Lab
STA-ASSET-0159,Cardiac Monitor,GE Healthcare,Card-236,MON-W6NYQA,2020,Excellent,Echo Suite
STA-ASSET-0024,Echocardiograph,Boston Scientific,Echo-409,ECH-R0S1T2,2026,Excellent,Cardiac Ward B
STA-ASSET-0019,Cardiac Monitor,Mindray,Card-166,MON-C5D6E7,2018,Fair,Cardiac ICU
STA-ASSET-0135,Echocardiograph,Siemens Healthineers,Echo-197,ECH-9OI0D4,2024,Poor,Electrophysiology Lab
STA-ASSET-0146,Infusion Pump,Philips,Infu-384,INF-RN8LPY,2017,Poor,Cardiac Ward A
STA-ASSET-0148,Infusion Pump,Mindray,Infu-978,INF-L8N3E5,2022,Excellent,Cardiac ICU
STA-ASSET-0039,Echocardiograph,Zoll Medical,Echo-748,ECH-6DR08C,2023,Poor,Cardiac Ward B
STA-ASSET-0096,Infusion Pump,Medtronic,Infu-664,INF-6PY06F,2016,Poor,Cardiac ICU
STA-ASSET-0088,Defibrillator,Siemens Healthineers,Defi-309,DEF-8CFEFF,2023,Good,Electrophysiology Lab
STA-ASSET-0089,EP Recording System,Medtronic,EP R-164,EPR-TEMPXK,2015,Fair,Storage
STA-ASSET-0150,Ventilator,Mindray,Vent-961,VNT-2JC2R0,2020,Excellent,Storage
STA-ASSET-0133,EP Recording System,Zoll Medical,EP R-614,EPR-OU3DYM,2025,Poor,Cath Lab
STA-ASSET-0073,Echocardiograph,Philips,Echo-433,ECH-6ZVLHY,2018,Good,Electrophysiology Lab
STA-ASSET-0031,Infusion Pump,Siemens Healthineers,Infu-795,INF-OUHYLU,2019,Excellent,Echo Suite
STA-ASSET-0134,Infusion Pump,Siemens Healthineers,Infu-648,INF-NPR424,2018,Poor,Electrophysiology Lab
STA-ASSET-0097,EP Recording System,Zoll Medical,EP R-327,EPR-4QDBXV,2019,Fair,Cardiac ICU
STA-ASSET-0131,Cardiac Monitor,Mindray,Card-167,MON-MXIXV6,2019,Good,Electrophysiology Lab
STA-ASSET-0018,Cardiac Monitor,Siemens Healthineers,Card-981,MON-Z2A3B4,2024,Fair,Cardiac Ward A
STA-ASSET-0048,EP Recording System,Zoll Medical,EP R-500,EPR-74MJDX,2022,Fair,Echo Suite
STA-ASSET-0053,Defibrillator,Boston Scientific,Defi-371,DEF-C1NLC8,2017,Excellent,Cardiac ICU
STA-ASSET-0046,EP Recording System,Mindray,EP R-499,EPR-RR87IY,2022,Poor,Cath Lab
STA-ASSET-0179,Defibrillator,GE Healthcare,Defi-105,DEF-G0V5DT,2021,Good,Cardiac ICU
STA-ASSET-0153,Defibrillator,GE Healthcare,Defi-911,DEF-S8314Y,2020,Excellent,Cardiac Ward A
STA-ASSET-0042,Cardiac Monitor,Boston Scientific,Card-358,MON-0AREC2,2017,Poor,Electrophysiology Lab
STA-ASSET-0098,Echocardiograph,Zoll Medical,Echo-717,ECH-4Y89OR,2024,Good,Echo Suite
STA-ASSET-0142,Infusion Pump,GE Healthcare,Infu-421,INF-XB02B6,2024,Poor,Storage
STA-ASSET-0129,Defibrillator,Zoll Medical,Defi-391,DEF-CJVNY1,2020,Good,Cardiac ICU
STA-ASSET-0149,EP Recording System,Siemens Healthineers,EP R-549,EPR-K71K4F,2025,Poor,Storage
STA-ASSET-0115,Cardiac Monitor,Philips,Card-612,MON-D478MF,2024,Fair,Cardiac Ward B
STA-ASSET-0028,Cardiac Monitor,Zoll Medical,Card-217,MON-YGY0Z4,2024,Excellent,Electrophysiology Lab
STA-ASSET-0022,EP Recording System,Zoll Medical,EP R-515,EPR-L4M5N6,2018,Excellent,Storage
STA-ASSET-0169,Cardiac Monitor,GE Healthcare,Card-773,MON-BQZRWJ,2015,Poor,Cardiac ICU
STA-ASSET-0095,Defibrillator,Philips,Defi-872,DEF-8TSXK6,2024,Fair,Storage
STA-ASSET-0174,EP Recording System,Boston Scientific,EP R-792,EPR-NGWDS9,2018,Fair,Cardiac Ward A
STA-ASSET-0072,Cardiac Monitor,Siemens Healthineers,Card-261,MON-W6QDBT,2015,Excellent,Cardiac Ward B
STA-ASSET-0011,Defibrillator,Boston Scientific,Defi-928,DEF-E1F2G3,2023,Excellent,Cardiac ICU
STA-ASSET-0084,Echocardiograph,Mindray,Echo-826,ECH-NWNGUC,2018,Fair,Electrophysiology Lab
STA-ASSET-0156,Defibrillator,Philips,Defi-220,DEF-OPJDN8,2015,Excellent,Storage
STA-ASSET-0070,Echocardiograph,Zoll Medical,Echo-383,ECH-N1TH1X,2015,Fair,Cardiac ICU
STA-ASSET-0069,Defibrillator,Medtronic,Defi-341,DEF-R8W2MA,2018,Good,Cardiac Ward B
STA-ASSET-0002,Echocardiograph,Zoll Medical,Echo-662,ECH-D4E5F6,2020,Fair,Electrophysiology Lab
STA-ASSET-0172,Defibrillator,GE Healthcare,Defi-920,DEF-NOX8FK,2021,Poor,Echo Suite
STA-ASSET-0036,EP Recording System,Boston Scientific,EP R-665,EPR-Q2VPGS,2022,Excellent,Electrophysiology Lab
STA-ASSET-0139,Defibrillator,Siemens Healthineers,Defi-980,DEF-QI014O,2016,Fair,Storage
STA-ASSET-0016,Cardiac Monitor,GE Healthcare,Card-981,MON-T6U7V8,2019,Excellent,Electrophysiology Lab
STA-ASSET-0020,EP Recording System,Siemens Healthineers,EP R-572,EPR-F8G9H0,2021,Good,Electrophysiology Lab
STA-ASSET-0032,Cardiac Monitor,Philips,Card-662,MON-UWS44C,2015,Good,Echo Suite
STA-ASSET-0085,Defibrillator,Zoll Medical,Defi-862,DEF-ER7U8H,2018,Poor,Electrophysiology Lab
STA-ASSET-0100,Ventilator,Mindray,Vent-846,VNT-0OPF06,2021,Fair,Storage
STA-ASSET-0013,Defibrillator,Philips,Defi-921,DEF-K7L8M9,2024,Excellent,Cardiac Ward A
STA-ASSET-0118,EP Recording System,GE Healthcare,EP R-607,EPR-SO1LQS,2020,Poor,Cardiac Ward B
STA-ASSET-0132,Defibrillator,Philips,Defi-120,DEF-TBXPSP,2022,Good,Electrophysiology Lab
STA-ASSET-0026,Cardiac Monitor,Mindray,Card-167,MON-X6Y7Z8,2026,Good,Storage
STA-ASSET-0158,EP Recording System,Boston Scientific,EP R-911,EPR-HH30GG,2017,Good,Electrophysiology Lab
STA-ASSET-0081,Ventilator,Siemens Healthineers,Vent-241,VNT-FQUV9Q,2021,Fair,Storage
STA-ASSET-0163,Cardiac Monitor,Philips,Card-540,MON-L9R9KM,2019,Poor,Cardiac Ward B
STA-ASSET-0012,Defibrillator,Boston Scientific,Defi-576,DEF-H4I5J6,2024,Excellent,Cath Lab
STA-ASSET-0128,Defibrillator,Siemens Healthineers,Defi-685,DEF-ZRDYXY,2022,Excellent,Cardiac Ward B
STA-ASSET-0136,Echocardiograph,Zoll Medical,Echo-923,ECH-2RH2XK,2019,Excellent,Echo Suite
STA-ASSET-0094,Defibrillator,Siemens Healthineers,Defi-886,DEF-Q9TEA7,2017,Excellent,Electrophysiology Lab
STA-ASSET-0091,Cardiac Monitor,Zoll Medical,Card-888,MON-E2GJR8,2015,Fair,Electrophysiology Lab
STA-ASSET-0047,Infusion Pump,Boston Scientific,Infu-142,INF-PK2NLT,2016,Poor,Storage
STA-ASSET-0123,Ventilator,Mindray,Vent-565,VNT-MY89SF,2016,Good,Electrophysiology Lab
STA-ASSET-0050,Echocardiograph,Zoll Medical,Echo-194,ECH-DQHKGA,2015,Fair,Cardiac Ward B
STA-ASSET-0155,Infusion Pump,GE Healthcare,Infu-573,INF-AAUWID,2018,Poor,Echo Suite
STA-ASSET-0017,Cardiac Monitor,Siemens Healthineers,Card-287,MON-W9X0Y1,2021,Excellent,Echo Suite
STA-ASSET-0060,Ventilator,Mindray,Vent-164,VNT-0FGZVR,2023,Poor,Cardiac Ward A
STA-ASSET-0157,EP Recording System,Boston Scientific,EP R-394,EPR-YEZG52,2022,Excellent,Cath Lab
STA-ASSET-0044,Defibrillator,Boston Scientific,Defi-957,DEF-SB98V3,2022,Excellent,Storage
STA-ASSET-0126,Ventilator,Mindray,Vent-132,VNT-RJM4T8,2021,Good,Cardiac Ward A
STA-ASSET-0170,Ventilator,Zoll Medical,Vent-316,VNT-8L008U,2015,Poor,Electrophysiology Lab
STA-ASSET-0065,Ventilator,Medtronic,Vent-318,VNT-OEYTL8,2015,Fair,Electrophysiology Lab
STA-ASSET-0117,Echocardiograph,GE Healthcare,Echo-209,ECH-74RZGY,2017,Poor,Cardiac Ward A
STA-ASSET-0057,Ventilator,Boston Scientific,Vent-224,VNT-3CINY2,2024,Poor,Electrophysiology Lab
STA-ASSET-0099,Cardiac Monitor,Mindray,Card-556,MON-F4NNKM,2023,Good,Cath Lab
STA-ASSET-0104,Cardiac Monitor,Medtronic,Card-804,MON-4RX6PR,2025,Fair,Cardiac ICU
STA-ASSET-0025,Defibrillator,Mindray,Defi-344,DEF-U3V4W5,2025,Good,Cardiac Ward A
STA-ASSET-0037,Defibrillator,GE Healthcare,Defi-659,DEF-PAR0ZJ,2024,Poor,Cardiac ICU
STA-ASSET-0021,EP Recording System,Boston Scientific,EP R-718,EPR-I1J2K3,2020,Excellent,Cath Lab
STA-ASSET-0113,EP Recording System,Medtronic,EP R-133,EPR-1EARPH,2025,Good,Cardiac Ward A
STA-ASSET-0056,Ventilator,Mindray,Vent-602,VNT-JZ6US7,2022,Excellent,Cardiac Ward A
STA-ASSET-0090,Infusion Pump,Medtronic,Infu-642,INF-MUX2RX,2023,Excellent,Cardiac Ward A
STA-ASSET-0058,Ventilator,Siemens Healthineers,Vent-182,VNT-OW8DT8,2022,Poor,Echo Suite
STA-ASSET-0045,EP Recording System,GE Healthcare,EP R-370,EPR-X0GU4B,2016,Good,Cath Lab
STA-ASSET-0106,Echocardiograph,Siemens Healthineers,Echo-999,ECH-SU4FCL,2017,Poor,Cath Lab
STA-ASSET-0080,Defibrillator,Philips,Defi-763,DEF-UA08EK,2016,Good,Cardiac Ward A
STA-ASSET-0064,Infusion Pump,GE Healthcare,Infu-164,INF-4C3EVW,2018,Excellent,Electrophysiology Lab
STA-ASSET-0015,Cardiac Monitor,Medtronic,Card-576,MON-Q3R4S5,2024,Fair,Cath Lab
STA-ASSET-0061,Infusion Pump,Boston Scientific,Infu-515,INF-38AMMZ,2016,Fair,Storage
STA-ASSET-0166,Ventilator,Zoll Medical,Vent-989,VNT-RR45ED,2019,Fair,Storage
STA-ASSET-0083,Cardiac Monitor,Medtronic,Card-853,MON-8T22C5,2015,Poor,Cardiac ICU
STA-ASSET-0178,EP Recording System,Philips,EP R-738,EPR-C5KVQY,2019,Poor,Storage
STA-ASSET-0009,Defibrillator,Boston Scientific,Defi-816,DEF-Y5Z6A7,2023,Fair,Cardiac Ward B
STA-ASSET-0071,Defibrillator,Medtronic,Defi-472,DEF-46RF7B,2019,Fair,Cardiac Ward A
STA-ASSET-0041,Echocardiograph,Medtronic,Echo-273,ECH-700UCR,2024,Good,Echo Suite
STA-ASSET-0074,Defibrillator,Philips,Defi-155,DEF-IOH6CV,2021,Fair,Cath Lab
STA-ASSET-0055,Cardiac Monitor,Philips,Card-768,MON-BC01AR,2025,Good,Cardiac ICU
STA-ASSET-0137,Infusion Pump,Siemens Healthineers,Infu-119,INF-HOWQ1G,2025,Fair,Cardiac Ward B
STA-ASSET-0068,Ventilator,Boston Scientific,Vent-344,VNT-2REFJQ,2017,Good,Cardiac Ward B
STA-ASSET-0008,Echocardiograph,GE Healthcare,Echo-710,ECH-V2W3X4,2023,Excellent,Echo Suite
STA-ASSET-0092,Cardiac Monitor,Mindray,Card-825,MON-8WFTGG,2025,Fair,Cath Lab
STA-ASSET-0151,Echocardiograph,Boston Scientific,Echo-434,ECH-FJCP0T,2022,Good,Storage
STA-ASSET-0143,Echocardiograph,Mindray,Echo-341,ECH-6Y5O44,2016,Good,Cardiac Ward B
STA-ASSET-0162,Infusion Pump,Philips,Infu-424,INF-UJS75E,2023,Excellent,Cath Lab
STA-ASSET-0105,Echocardiograph,Boston Scientific,Echo-989,ECH-J9C0UU,2019,Excellent,Echo Suite
STA-ASSET-0144,Ventilator,Boston Scientific,Vent-891,VNT-U1SRDV,2020,Poor,Storage
STA-ASSET-0087,Infusion Pump,Siemens Healthineers,Infu-568,INF-2837C6,2016,Good,Cardiac Ward A
STA-ASSET-0120,EP Recording System,Siemens Healthineers,EP R-476,EPR-9P4627,2017,Good,Echo Suite
STA-ASSET-0079,Echocardiograph,Philips,Echo-813,ECH-90SPO3,2016,Excellent,Cardiac Ward A
STA-ASSET-0093,Defibrillator,Philips,Defi-135,DEF-BLEJGU,2025,Poor,Electrophysiology Lab
STA-ASSET-0141,Cardiac Monitor,Mindray,Card-129,MON-R9P6HJ,2019,Poor,Echo Suite
STA-ASSET-0066,Echocardiograph,Philips,Echo-695,ECH-J1GNFI,2015,Fair,Cardiac ICU
STA-ASSET-0130,Infusion Pump,Philips,Infu-489,INF-EN3V1W,2016,Excellent,Electrophysiology Lab
STA-ASSET-0103,EP Recording System,Philips,EP R-910,EPR-3KVR0I,2015,Fair,Electrophysiology Lab
STA-ASSET-0147,Ventilator,Siemens Healthineers,Vent-155,VNT-3A8V4X,2025,Fair,Electrophysiology Lab
STA-ASSET-0010,Defibrillator,Siemens Healthineers,Defi-440,DEF-B8C9D0,2020,Good,Echo Suite
STA-ASSET-0075,Infusion Pump,Mindray,Infu-443,INF-GNQGMJ,2017,Good,Echo Suite
STA-ASSET-0127,EP Recording System,Siemens Healthineers,EP R-823,EPR-4PBGX2,2017,Excellent,Cardiac Ward A
STA-ASSET-0107,Echocardiograph,Siemens Healthineers,Echo-178,ECH-NW8BKX,2023,Fair,Storage
STA-ASSET-0111,EP Recording System,Philips,EP R-552,EPR-EEAMYF,2024,Poor,Cath Lab
STA-ASSET-0027,EP Recording System,Medtronic,EP R-705,EPR-A9B0C1,2026,Excellent,Cardiac Ward B
STA-ASSET-0003,Echocardiograph,GE Healthcare,Echo-923,ECH-G7H8I9,2023,Fair,Cardiac Ward B
STA-ASSET-0086,Cardiac Monitor,Zoll Medical,Card-225,MON-YJCMRS,2022,Poor,Cardiac Ward A
STA-ASSET-0014,Defibrillator,Philips,Defi-417,DEF-N0O1P2,2021,Excellent,Echo Suite
STA-ASSET-0101,Infusion Pump,Zoll Medical,Infu-704,INF-DHR59C,2021,Good,Cardiac ICU
STA-ASSET-0076,Infusion Pump,Philips,Infu-402,INF-KDQP1H,2024,Fair,Storage
STA-ASSET-0052,Defibrillator,Siemens Healthineers,Defi-808,DEF-KXCQ91,2025,Poor,Electrophysiology Lab
STA-ASSET-0063,Ventilator,Philips,Vent-151,VNT-Q7BZEG,2019,Good,Cardiac Ward A
STA-ASSET-0116,Infusion Pump,Philips,Infu-872,INF-DUAHGK,2023,Good,Echo Suite
STA-ASSET-0152,Echocardiograph,Medtronic,Echo-421,ECH-XW2EOW,2024,Good,Cardiac ICU
STA-ASSET-0121,EP Recording System,Medtronic,EP R-704,EPR-DPXDFO,2016,Fair,Cardiac ICU
STA-ASSET-0125,Ventilator,Siemens Healthineers,Vent-911,VNT-FWDC11,2022,Fair,Electrophysiology Lab
STA-ASSET-0114,Echocardiograph,Siemens Healthineers,Echo-701,ECH-BKADEV,2018,Fair,Echo Suite
STA-ASSET-0040,Echocardiograph,Siemens Healthineers,Echo-461,ECH-TAQ6UL,2019,Poor,Cath Lab
STA-ASSET-0043,Cardiac Monitor,Philips,Card-279,MON-0V60XN,2019,Fair,Cardiac Ward A
STA-ASSET-0030,Ventilator,Medtronic,Vent-875,VNT-CHFU13,2017,Fair,Cardiac Ward A
STA-ASSET-0006,Echocardiograph,Philips,Echo-791,ECH-P6Q7R8,2021,Good,Cardiac ICU
STA-ASSET-0109,Ventilator,Medtronic,Vent-897,VNT-NTMFEK,2022,Excellent,Electrophysiology Lab
STA-ASSET-0122,Cardiac Monitor,GE Healthcare,Card-385,MON-MV9E40,2024,Poor,Storage
STA-ASSET-0164,Cardiac Monitor,Zoll Medical,Card-973,MON-L6L91F,2025,Excellent,Cardiac ICU
STA-ASSET-0119,Ventilator,Philips,Vent-961,VNT-CRNQ0Y,2022,Fair,Cardiac Ward B
STA-ASSET-0176,Defibrillator,Zoll Medical,Defi-522,DEF-PUT7SS,2016,Excellent,Echo Suite
STA-ASSET-0175,Infusion Pump,Medtronic,Infu-230,INF-XDQC2K,2025,Poor,Storage
STA-ASSET-0168,Echocardiograph,GE Healthcare,Echo-503,ECH-1Y5AYY,2020,Good,Storage
