rule_id,rule_name,provision,requirement,artemisq_status,remediation_action,owner,deadline_days,evidence_required,reference_url
MiFIR RTS 22 Field 28,Trading Date and Time UTC,Report Field 28 in UTC,NON-COMPLIANT,Fix timezone_config.py UTC_OFFSET = -5,Marcus Chen,7,Corrected transaction reports,https://www.fca.org.uk/publication/newsletters/market-watch-59.pdf
DST Automation,Automatic DST Handling,No hard-coded timezone offsets,NON-COMPLIANT,Implement pytz DST-aware timezone detection,James Okafor,14,JIRA AROS-447 resolution,https://docs.python.org/3/library/zoneinfo.html
DST Automation,Automatic DST Handling,No hard-coded timezone offsets,NON-COMPLIANT,Implement pytz DST-aware timezone detection,James Okafor,14,JIRA AROS-447 resolution,https://docs.python.org/3/library/zoneinfo.html
Rule 15c3-5(b),Market Access Rule — Core,Establish risk management controls,NON-COMPLIANT,Integrate risk_monitor with order_router,Marcus Chen,30,Updated architecture diagram,https://www.sec.gov/files/rules/final/2010/34-63241-secg.htm
Rule 15c6-1,T+1 Settlement,Settlement within one business day,PARTIAL,Fix settlement_scheduler.py UTC offset,Marcus Chen,7,Fixed code + test results,https://www.sec.gov/exams/educationhelpguidesfaqs/t1-faq
DST Automation,Automatic DST Handling,No hard-coded timezone offsets,NON-COMPLIANT,Implement pytz DST-aware timezone detection,James Okafor,14,JIRA AROS-447 resolution,https://docs.python.org/3/library/zoneinfo.html
DST Automation,Automatic DST Handling,No hard-coded timezone offsets,NON-COMPLIANT,Implement pytz DST-aware timezone detection,James Okafor,14,JIRA AROS-447 resolution,https://docs.python.org/3/library/zoneinfo.html
Back-Testing,System Validation,Demonstrate UTC fix reproduces correct settlement,REQUIRED,Complete sec_backtest_template.py with UTC_OFFSET=-5,Marcus Chen,3,output/backtest_result.json + SHA-256 signoff,Formal investigation notice AQ-2024-11-0847
Rule 15c3-5(c)(1),Financial Risk Controls,Pre-trade position limits,PARTIAL,Configure position size limits in risk_monitor,Marcus Chen,14,Risk limit configuration file,https://www.sec.gov/files/rules/final/2010/34-63241-secg.htm
Rule 15c3-5(c)(1),Financial Risk Controls,Pre-trade position limits,PARTIAL,Configure position size limits in risk_monitor,Marcus Chen,14,Risk limit configuration file,https://www.sec.gov/files/rules/final/2010/34-63241-secg.htm
