claim_id,claim_text,claim_type,draft_source,evidence_types_available,rct_count,animal_study_count,in_vitro_count,consumer_survey_count,meets_ftc_standard,prohibited_qualifier_present,prohibited_qualifier_list,proof_claim_flag,recommended_action,ftc_guidance_section,penalty_risk_category,estimated_penalty_usd
CL-001,Clinically demonstrated to support immune function,health_claim,press_release_draft_v1.md,"3 RCTs (LGG only, not full blend)",3,0,0,0,PARTIAL,NO,,YES,Remove 'clinically demonstrated'; use 'LGG in ProBio+ has been studied in 3 RCTs',FTC Health Products Compliance Guidance Dec 2022; Notice of Penalty Offenses (v),HIGH,51744.0
CL-002,May help support immune function,health_claim,press_release_draft_v1.md,3 RCTs (LGG),3,0,0,0,PARTIAL,YES,may,NO,Remove 'may'; replace with specific evidence-qualified claim,FTC Health Products Compliance Guidance Dec 2022 (prohibited qualifiers),HIGH,51744.0
CL-003,Based on promising preliminary clinical results,health_claim,press_release_draft_v1.md,Pilot study (no RCT),0,0,0,0,NO,YES,promising; preliminary,NO,Remove entirely; cannot use promising/preliminary to soften inadequate claim,FTC Health Products Compliance Guidance Dec 2022 (prohibited qualifiers),HIGH,51744.0
CL-004,B-vitamins scientifically proven to support energy metabolism,health_claim,press_release_draft_v1.md,Established science (multiple human studies),15,0,0,0,YES (general mechanism),NO,,YES,Remove 'scientifically proven'; replace with 'B-vitamins are essential cofactors in energy metabolism',Notice of Penalty Offenses category (v); FTC Health Products Compliance Guidance,HIGH,51744.0
CL-005,Doctor-formulated for maximum bioavailability,endorsement_claim,press_release_draft_v1.md,Advisory board physician involvement (undisclosed connection),0,0,0,0,CONDITIONAL,NO,,NO,Disclose physician material connection; ensure adequate substantiation,16 CFR §255.3; FTC Health Products Compliance Guidance (doctor-recommended),HIGH,51744.0
CL-006,"As seen on Dr. Wellness Network (undisclosed $5,000 payment)",endorsement_claim,press_release_draft_v1.md,N/A - disclosure issue,0,0,0,0,N/A,NO,,NO,Add 'Ad:' at beginning of all posts; disclose material connection per §255.5,16 CFR §255.5 material connection disclosure,HIGH,51744.0
CL-007,Made in USA (with Danish-sourced Chr. Hansen probiotic strains),origin_claim,product_label_draft.md,"Manufacturing documentation (85% domestic content, key ingredient foreign)",0,0,0,0,NO,NO,,NO,Replace with qualified claim: 'Made in USA from domestic and imported ingredients',16 CFR Part 323 §323.1 (all or virtually all standard),HIGH,2000000.0
CL-008,Biodegradable Capsule Shells (HDPE shells),environmental_claim,product_label_draft.md,HDPE biodegradation testing (2.3% in 12 months),0,0,0,0,NO,NO,,NO,Remove claim; HDPE does not biodegrade within 1 year under disposal conditions,16 CFR §260.8 (one-year biodegradation standard),HIGH,51744.0
CL-009,Recyclable Packaging (composite incl. foil liner),environmental_claim,product_label_draft.md,Recycling facility access data (foil liner <15% access),0,0,0,0,NO,NO,,NO,Qualify: 'Bottle and carton recyclable where facilities available',16 CFR §260.12 (60% substantial majority threshold),MEDIUM,51744.0
CL-010,"Rated 4.9/5 stars by over 2,000 verified customers",review_claim,press_release_draft_v1.md,Internal review database (collection protocol under review),0,0,0,0,CONDITIONAL,NO,,NO,Verify review collection complies with 16 CFR Part 465; no company insider reviews without disclosure,16 CFR §465.2; §465.5 (Consumer Reviews and Testimonials Rule),MEDIUM,51744.0
CL-011,Supports immune health based on our proprietary blend,health_claim,press_release_draft_v2.md,"3 RCTs (LGG), but claim refers to full 'proprietary blend'",3,0,0,0,PARTIAL,NO,,NO,Specify which strains are supported by RCT evidence; cannot claim for full blend without blend-specific RCT,FTC Health Products Compliance Guidance Dec 2022,MEDIUM,51744.0
CL-012,Initial studies show remarkable outcomes for immune health,health_claim,press_release_draft_v1.md,"Pilot study (no control, n=45)",0,0,1,0,NO,YES,initial,NO,Remove entirely; 'initial' is prohibited qualifier; pilot study insufficient,FTC Health Products Compliance Guidance Dec 2022 (prohibited qualifiers),HIGH,51744.0
CL-013,ProBio+ helps maintain digestive comfort,health_claim,drafts/ad_copy_social_media.md,2 RCTs (NCFM strain),2,0,0,0,PARTIAL,YES,helps,NO,Remove 'helps' as standalone qualifier; use specific evidence language,FTC Health Products Compliance Guidance Dec 2022 (prohibited qualifiers),MEDIUM,51744.0
CL-014,Results not typical disclaimer,disclaimer,press_release_draft_v1.md,N/A - safe harbor status,0,0,0,0,NO,NO,,NO,Remove entirely; 'results not typical' is NOT a safe harbor per current law (abolished 2009),16 CFR §255.1 (safe harbor abolished in 2009 revision),HIGH,51744.0
CL-015,Eco-Friendly Packaging (unqualified),environmental_claim,product_label_draft.md,N/A - unqualified general claim,0,0,0,0,NO,NO,,NO,Must specify which environmental benefit is claimed; unqualified is deceptive per §260.1,16 CFR §260.1 (general environmental benefit claims),MEDIUM,51744.0
