hostname,ip,ssh_version,os,env,owner,is_vulnerable
host-s0001.internal.example.com,10.25.127.198,OpenSSH_7.9p1,Amazon Linux 2,staging,sre,false
host-s0002.internal.example.com,10.15.176.49,OpenSSH_9.0p1,CentOS 7,staging,backend,true
host-s0003.internal.example.com,10.30.204.85,OpenSSH_8.3p1,Debian 12,staging,devops,false
host-p0004.internal.example.com,10.3.135.37,OpenSSH_9.7p1,Amazon Linux 2,prod,devops,true
host-p0005.internal.example.com,10.41.83.8,OpenSSH_9.4p1,Ubuntu 22.04,prod,frontend-infra,true
host-s0006.internal.example.com,10.45.84.224,OpenSSH_9.0p1,CentOS 7,staging,sre,true
host-d0007.internal.example.com,10.42.208.124,OpenSSH_8.6p1,Ubuntu 22.04,dev,frontend-infra,true
host-d0008.internal.example.com,10.11.91.2,OpenSSH_8.8p1,RHEL 7,dev,devops,true
host-d0009.internal.example.com,10.39.8.231,OpenSSH_7.4p1,Debian 12,dev,devops,false
host-d0010.internal.example.com,10.43.52.123,OpenSSH_8.3p1,CentOS 7,dev,database,false
host-d0011.internal.example.com,10.11.201.47,OpenSSH_9.6p1,RHEL 7,dev,backend,true
host-d0012.internal.example.com,10.14.90.62,OpenSSH_7.4p1,RHEL 8,dev,data-infra,false
host-d0013.internal.example.com,10.30.221.100,OpenSSH_7.9p1,RHEL 9,dev,frontend-infra,false
host-p0014.internal.example.com,10.8.123.167,OpenSSH_8.5p1,Ubuntu 22.04,prod,frontend-infra,true
host-p0015.internal.example.com,10.23.217.30,OpenSSH_9.2p1,Ubuntu 22.04,prod,ml-platform,true
host-s0016.internal.example.com,10.2.108.126,OpenSSH_9.0p1,Ubuntu 22.04,staging,api,true
host-s0017.internal.example.com,10.36.177.204,OpenSSH_8.3p1,Ubuntu 20.04,staging,monitoring,false
host-p0018.internal.example.com,10.10.241.10,OpenSSH_9.8p1,RHEL 8,prod,ml-platform,false
host-p0019.internal.example.com,10.44.158.177,OpenSSH_9.7p1,RHEL 8,prod,sre,true
host-p0020.internal.example.com,10.19.86.248,OpenSSH_8.9p1,RHEL 9,prod,backend,true
host-p0021.internal.example.com,10.1.146.53,OpenSSH_8.8p1,Debian 12,prod,api,true
host-s0022.internal.example.com,10.15.117.91,OpenSSH_8.3p1,Ubuntu 22.04,staging,devops,false
host-p0023.internal.example.com,10.22.17.178,OpenSSH_9.8p1,Ubuntu 20.04,prod,monitoring,false
host-p0024.internal.example.com,10.40.97.116,OpenSSH_7.4p1,Ubuntu 22.04,prod,database,false
host-p0025.internal.example.com,10.40.226.56,OpenSSH_8.9p1,RHEL 8,prod,data-infra,true
host-s0026.internal.example.com,10.3.217.106,OpenSSH_8.4p1,Ubuntu 20.04,staging,devops,false
host-d0027.internal.example.com,10.34.172.177,OpenSSH_9.3p2,Amazon Linux 2,dev,api,true
host-p0028.internal.example.com,10.15.122.127,OpenSSH_9.1p1,Ubuntu 20.04,prod,backend,true
host-d0029.internal.example.com,10.1.69.163,OpenSSH_8.5p1,RHEL 8,dev,data-infra,true
host-s0030.internal.example.com,10.49.27.83,OpenSSH_8.6p1,RHEL 7,staging,sre,true
host-p0031.internal.example.com,10.37.135.180,OpenSSH_8.6p1,Ubuntu 20.04,prod,data-infra,true
host-s0032.internal.example.com,10.11.54.225,OpenSSH_9.7p1,Amazon Linux 2,staging,database,true
host-p0033.internal.example.com,10.21.129.59,OpenSSH_9.7p1,CentOS 7,prod,database,true
host-d0034.internal.example.com,10.44.40.5,OpenSSH_8.7p1,Ubuntu 20.04,dev,sre,true
host-d0035.internal.example.com,10.50.155.80,OpenSSH_8.8p1,RHEL 7,dev,sre,true
