review_id,review_date,reviewer,document_reviewed,claim_id,claim_text_excerpt,claim_type,regulatory_section,ftc_citation,violation_detected,violation_category,severity,evidence_tier,rct_count,animal_studies,in_vitro_studies,prohibited_qualifier,proof_claim,disclosure_issue,recommended_action,action_taken,status,estimated_penalty_usd,review_notes
RV-0001,2026-05-23,Compliance Counsel LLC,brand_guidelines.md,CL-009,Recyclable Packaging,environmental_claim,§260.12,16 CFR §260.12,YES,unsubstantiated_env_claim,medium,Facility access data,0,0,0,NO,NO,NO,Qualify to specific recyclable components,Flagged for revision,IN_REVIEW,51744.0,Review #1: unsubstantiated_env_claim flagged in brand_guidelines.md by Compliance Counsel LLC
RV-0002,2026-06-08,Dr. Rachel Kim (Science),brand_guidelines.md,CL-009,Recyclable Packaging,environmental_claim,§260.12,16 CFR §260.12,YES,unsubstantiated_env_claim,medium,Facility access data,0,0,0,NO,NO,NO,Qualify to specific recyclable components,Referred to CCO,ESCALATED,51744.0,Review #2: unsubstantiated_env_claim flagged in brand_guidelines.md by Dr. Rachel Kim
RV-0003,2026-05-27,Dr. Maria Santos (CCO),brand_guidelines.md,CL-002,May help support immune function,health_claim,§255.1,16 CFR §255.1,YES,prohibited_qualifier,high,Partial RCT,3,0,0,YES,NO,NO,Remove 'may'; rewrite with evidence-based language,Flagged for revision,RESOLVED,51744.0,Review #3: prohibited_qualifier flagged in brand_guidelines.md by Dr. Maria Santos
RV-0004,2026-05-23,Dr. Rachel Kim (Science),press_release_draft_v1.md,CL-011,Eco-Friendly Packaging,environmental_claim,§260.1,16 CFR §260.1,YES,unqualified_general_claim,medium,N/A,0,0,0,NO,NO,NO,Qualify with specific environmental benefit,Referred to CCO,RESOLVED,51744.0,Review #4: unqualified_general_claim flagged in press_release_draft_v1.md by Dr. Rachel Kim
RV-0005,2026-05-26,Dr. Rachel Kim (Science),product_label_draft.md,CL-006,As seen on Dr. Wellness Network (undisclosed),endorsement_claim,§255.5,16 CFR §255.5,YES,undisclosed_material_connection,high,N/A,0,0,0,NO,NO,YES,Add Ad: disclosure at beginning of all posts,Pending legal sign-off,ESCALATED,51744.0,Review #5: undisclosed_material_connection flagged in product_label_draft.md by Dr. Rachel Kim
RV-0006,2026-06-05,Dr. Maria Santos (CCO),product_label_draft.md,CL-002,May help support immune function,health_claim,§255.1,16 CFR §255.1,YES,prohibited_qualifier,high,Partial RCT,3,0,0,YES,NO,NO,Remove 'may'; rewrite with evidence-based language,Resolved,RESOLVED,51744.0,Review #6: prohibited_qualifier flagged in product_label_draft.md by Dr. Maria Santos
RV-0007,2026-05-29,Dr. Rachel Kim (Science),ad_copy_social_media.md,CL-011,Eco-Friendly Packaging,environmental_claim,§260.1,16 CFR §260.1,YES,unqualified_general_claim,medium,N/A,0,0,0,NO,NO,NO,Qualify with specific environmental benefit,Resolved,RESOLVED,51744.0,Review #7: unqualified_general_claim flagged in ad_copy_social_media.md by Dr. Rachel Kim
RV-0008,2026-05-20,Compliance Counsel LLC,product_label_draft.md,CL-008,Biodegradable Capsule Shells (HDPE),environmental_claim,§260.8,16 CFR §260.8,YES,unsubstantiated_env_claim,high,Testing data,0,0,0,NO,NO,NO,Remove; HDPE fails one-year standard,Referred to CCO,OPEN,51744.0,Review #8: unsubstantiated_env_claim flagged in product_label_draft.md by Compliance Counsel LLC
RV-0009,2026-06-01,Dr. Rachel Kim (Science),press_release_draft_v1.md,CL-007,Made in USA (Danish probiotic strains),origin_claim,§323.1,16 CFR §323.1,YES,false_origin_claim,high,N/A,0,0,0,NO,NO,NO,Replace with qualified Made in USA claim,Resolved,ESCALATED,2000000.0,Review #9: false_origin_claim flagged in press_release_draft_v1.md by Dr. Rachel Kim
RV-0010,2026-06-01,Compliance Counsel LLC,press_release_draft_v2.md,CL-010,Results not typical disclaimer,disclaimer,§255.1,16 CFR §255.1,YES,invalid_safe_harbor,high,N/A,0,0,0,NO,NO,NO,Remove; safe harbor abolished 2009,Referred to CCO,OPEN,51744.0,Review #10: invalid_safe_harbor flagged in press_release_draft_v2.md by Compliance Counsel LLC
RV-0011,2026-06-07,Sarah Chen (Counsel),ad_copy_social_media.md,CL-001,Clinically demonstrated to support immune function,health_claim,§255.1,16 CFR §255.1,YES,proof_claim,high,RCT (LGG only),3,0,0,NO,YES,NO,Remove or qualify with strain-specific language,Resolved,OPEN,51744.0,Review #11: proof_claim flagged in ad_copy_social_media.md by Sarah Chen
RV-0012,2026-06-08,Dr. Rachel Kim (Science),press_release_draft_v2.md,CL-003,Promising preliminary clinical results,health_claim,§255.1,16 CFR §255.1,YES,prohibited_qualifier,high,None (pilot only),0,0,0,YES,NO,NO,Remove entirely,Referred to CCO,IN_REVIEW,51744.0,Review #12: prohibited_qualifier flagged in press_release_draft_v2.md by Dr. Rachel Kim
RV-0013,2026-05-23,Dr. Rachel Kim (Science),press_release_draft_v2.md,CL-012,Initial studies show remarkable outcomes,health_claim,§255.1,16 CFR §255.1,YES,prohibited_qualifier,high,Pilot (n=45),0,0,0,YES,NO,NO,"Remove; pilot study insufficient, 'initial' prohibited qualifier",Resolved,RESOLVED,51744.0,Review #13: prohibited_qualifier flagged in press_release_draft_v2.md by Dr. Rachel Kim
RV-0014,2026-06-06,Dr. Rachel Kim (Science),product_label_draft.md,CL-009,Recyclable Packaging,environmental_claim,§260.12,16 CFR §260.12,YES,unsubstantiated_env_claim,medium,Facility access data,0,0,0,NO,NO,NO,Qualify to specific recyclable components,Resolved,ESCALATED,51744.0,Review #14: unsubstantiated_env_claim flagged in product_label_draft.md by Dr. Rachel Kim
RV-0015,2026-06-01,Dr. Rachel Kim (Science),ad_copy_social_media.md,CL-005,Doctor-formulated for maximum results,endorsement_claim,§255.3,16 CFR §255.3,YES,undisclosed_material_connection,high,N/A,0,0,0,NO,NO,YES,Disclose physician connection; verify involvement,Pending legal sign-off,OPEN,51744.0,Review #15: undisclosed_material_connection flagged in ad_copy_social_media.md by Dr. Rachel Kim
RV-0016,2026-05-21,Sarah Chen (Counsel),brand_guidelines.md,CL-008,Biodegradable Capsule Shells (HDPE),environmental_claim,§260.8,16 CFR §260.8,YES,unsubstantiated_env_claim,high,Testing data,0,0,0,NO,NO,NO,Remove; HDPE fails one-year standard,Resolved,ESCALATED,51744.0,Review #16: unsubstantiated_env_claim flagged in brand_guidelines.md by Sarah Chen
RV-0017,2026-05-31,Sarah Chen (Counsel),product_label_draft.md,CL-012,Initial studies show remarkable outcomes,health_claim,§255.1,16 CFR §255.1,YES,prohibited_qualifier,high,Pilot (n=45),0,0,0,YES,NO,NO,"Remove; pilot study insufficient, 'initial' prohibited qualifier",Referred to CCO,ESCALATED,51744.0,Review #17: prohibited_qualifier flagged in product_label_draft.md by Sarah Chen
RV-0018,2026-06-05,Dr. Rachel Kim (Science),press_release_draft_v2.md,CL-009,Recyclable Packaging,environmental_claim,§260.12,16 CFR §260.12,YES,unsubstantiated_env_claim,medium,Facility access data,0,0,0,NO,NO,NO,Qualify to specific recyclable components,Flagged for revision,RESOLVED,51744.0,Review #18: unsubstantiated_env_claim flagged in press_release_draft_v2.md by Dr. Rachel Kim
RV-0019,2026-05-30,Dr. Rachel Kim (Science),press_release_draft_v1.md,CL-008,Biodegradable Capsule Shells (HDPE),environmental_claim,§260.8,16 CFR §260.8,YES,unsubstantiated_env_claim,high,Testing data,0,0,0,NO,NO,NO,Remove; HDPE fails one-year standard,Resolved,RESOLVED,51744.0,Review #19: unsubstantiated_env_claim flagged in press_release_draft_v1.md by Dr. Rachel Kim
RV-0020,2026-06-03,Sarah Chen (Counsel),press_release_draft_v2.md,CL-012,Initial studies show remarkable outcomes,health_claim,§255.1,16 CFR §255.1,YES,prohibited_qualifier,high,Pilot (n=45),0,0,0,YES,NO,NO,"Remove; pilot study insufficient, 'initial' prohibited qualifier",Referred to CCO,OPEN,51744.0,Review #20: prohibited_qualifier flagged in press_release_draft_v2.md by Sarah Chen
RV-0021,2026-06-09,Compliance Counsel LLC,press_release_draft_v2.md,CL-006,As seen on Dr. Wellness Network (undisclosed),endorsement_claim,§255.5,16 CFR §255.5,YES,undisclosed_material_connection,high,N/A,0,0,0,NO,NO,YES,Add Ad: disclosure at beginning of all posts,Flagged for revision,IN_REVIEW,51744.0,Review #21: undisclosed_material_connection flagged in press_release_draft_v2.md by Compliance Counsel LLC
RV-0022,2026-06-02,Sarah Chen (Counsel),press_release_draft_v2.md,CL-001,Clinically demonstrated to support immune function,health_claim,§255.1,16 CFR §255.1,YES,proof_claim,high,RCT (LGG only),3,0,0,NO,YES,NO,Remove or qualify with strain-specific language,Flagged for revision,OPEN,51744.0,Review #22: proof_claim flagged in press_release_draft_v2.md by Sarah Chen
RV-0023,2026-06-03,Dr. Maria Santos (CCO),brand_guidelines.md,CL-004,B-vitamins scientifically proven to support energy,health_claim,§255.1,16 CFR §255.1,YES,proof_claim,high,Established science,10,0,0,NO,YES,NO,Remove 'scientifically proven'; use 'well-established role',Under review,OPEN,51744.0,Review #23: proof_claim flagged in brand_guidelines.md by Dr. Maria Santos
RV-0024,2026-06-08,Dr. Maria Santos (CCO),brand_guidelines.md,CL-005,Doctor-formulated for maximum results,endorsement_claim,§255.3,16 CFR §255.3,YES,undisclosed_material_connection,high,N/A,0,0,0,NO,NO,YES,Disclose physician connection; verify involvement,Pending legal sign-off,IN_REVIEW,51744.0,Review #24: undisclosed_material_connection flagged in brand_guidelines.md by Dr. Maria Santos
RV-0025,2026-05-20,Compliance Counsel LLC,brand_guidelines.md,CL-010,Results not typical disclaimer,disclaimer,§255.1,16 CFR §255.1,YES,invalid_safe_harbor,high,N/A,0,0,0,NO,NO,NO,Remove; safe harbor abolished 2009,Referred to CCO,IN_REVIEW,51744.0,Review #25: invalid_safe_harbor flagged in brand_guidelines.md by Compliance Counsel LLC
RV-0026,2026-06-06,Sarah Chen (Counsel),press_release_draft_v2.md,CL-010,Results not typical disclaimer,disclaimer,§255.1,16 CFR §255.1,YES,invalid_safe_harbor,high,N/A,0,0,0,NO,NO,NO,Remove; safe harbor abolished 2009,Under review,RESOLVED,51744.0,Review #26: invalid_safe_harbor flagged in press_release_draft_v2.md by Sarah Chen
RV-0027,2026-05-22,Dr. Rachel Kim (Science),ad_copy_social_media.md,CL-003,Promising preliminary clinical results,health_claim,§255.1,16 CFR §255.1,YES,prohibited_qualifier,high,None (pilot only),0,0,0,YES,NO,NO,Remove entirely,Resolved,RESOLVED,51744.0,Review #27: prohibited_qualifier flagged in ad_copy_social_media.md by Dr. Rachel Kim
RV-0028,2026-06-05,Dr. Rachel Kim (Science),press_release_draft_v2.md,CL-003,Promising preliminary clinical results,health_claim,§255.1,16 CFR §255.1,YES,prohibited_qualifier,high,None (pilot only),0,0,0,YES,NO,NO,Remove entirely,Resolved,IN_REVIEW,51744.0,Review #28: prohibited_qualifier flagged in press_release_draft_v2.md by Dr. Rachel Kim
RV-0029,2026-06-01,Dr. Maria Santos (CCO),press_release_draft_v1.md,CL-007,Made in USA (Danish probiotic strains),origin_claim,§323.1,16 CFR §323.1,YES,false_origin_claim,high,N/A,0,0,0,NO,NO,NO,Replace with qualified Made in USA claim,Flagged for revision,OPEN,2000000.0,Review #29: false_origin_claim flagged in press_release_draft_v1.md by Dr. Maria Santos
RV-0030,2026-05-31,Compliance Counsel LLC,press_release_draft_v1.md,CL-001,Clinically demonstrated to support immune function,health_claim,§255.1,16 CFR §255.1,YES,proof_claim,high,RCT (LGG only),3,0,0,NO,YES,NO,Remove or qualify with strain-specific language,Resolved,ESCALATED,51744.0,Review #30: proof_claim flagged in press_release_draft_v1.md by Compliance Counsel LLC
