month,year,monthly_fee_usd,cumulative_usd,service_type,notes
2026-02,2026,40000,40000,SaaS Subscription,Effective from MSA v2.5 Effective Date
2026-03,2026,40000,80000,SaaS Subscription,
2026-04,2026,40000,120000,SaaS Subscription,
2026-05,2026,40000,160000,SaaS Subscription,
2026-06,2026,40000,200000,SaaS Subscription,
2026-07,2026,40000,240000,SaaS Subscription,
2026-08,2026,40000,280000,SaaS Subscription,
2026-09,2026,40000,320000,SaaS Subscription,
2026-10,2026,40000,360000,SaaS Subscription,
2026-11,2026,40000,400000,SaaS Subscription,
2026-12,2026,40000,440000,SaaS Subscription,
2027-01,2027,40000,480000,SaaS Subscription,"End of Year 1 (12-month liability cap basis = $480,000)"
2027-02,2027,42000,522000,SaaS Subscription,Year 2 rate begins
TOTAL_12MO,2026-2027,480000,480000,12-month cap basis,"Aggregate liability cap = $480,000 (12 months x $40,000/mo)"
