finding_id,activity_id,article,severity,status,description
F-0001,ACT-001,Art. 30(1),MEDIUM,OPEN,Activity 'CRM Contact Management' assessed against Art. 30(1): documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0002,ACT-001,Art. 28(3),HIGH,IN_PROGRESS,Activity 'CRM Contact Management' assessed against Art. 28(3): documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0003,ACT-001,Art. 32(1),LOW,REMEDIATED,Activity 'CRM Contact Management' assessed against Art. 32(1): documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0004,ACT-001,Art. 9,MEDIUM,OPEN,Activity 'CRM Contact Management' assessed against Art. 9: documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0005,ACT-001,Art. 44,HIGH,IN_PROGRESS,Activity 'CRM Contact Management' assessed against Art. 44: documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0006,ACT-001,Art. 12(3),LOW,REMEDIATED,Activity 'CRM Contact Management' assessed against Art. 12(3): documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0007,ACT-001,Art. 5(2),MEDIUM,OPEN,Activity 'CRM Contact Management' assessed against Art. 5(2): documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0008,ACT-001,Art. 5(1)(e),HIGH,IN_PROGRESS,Activity 'CRM Contact Management' assessed against Art. 5(1)(e): documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0009,ACT-002,Art. 28(3),HIGH,OPEN,Activity 'HR Employee Records' assessed against Art. 28(3): documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0010,ACT-002,Art. 32(1),LOW,REMEDIATED,Activity 'HR Employee Records' assessed against Art. 32(1): documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0011,ACT-002,Art. 9,MEDIUM,IN_PROGRESS,Activity 'HR Employee Records' assessed against Art. 9: documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0012,ACT-002,Art. 44,HIGH,OPEN,Activity 'HR Employee Records' assessed against Art. 44: documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0013,ACT-002,Art. 12(3),LOW,REMEDIATED,Activity 'HR Employee Records' assessed against Art. 12(3): documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0014,ACT-002,Art. 5(2),MEDIUM,IN_PROGRESS,Activity 'HR Employee Records' assessed against Art. 5(2): documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0015,ACT-002,Art. 5(1)(e),HIGH,OPEN,Activity 'HR Employee Records' assessed against Art. 5(1)(e): documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0016,ACT-002,Art. 30(1),LOW,REMEDIATED,Activity 'HR Employee Records' assessed against Art. 30(1): documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0017,ACT-003,Art. 32(1),LOW,OPEN,Activity 'Occupational Health Records' assessed against Art. 32(1): documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0018,ACT-003,Art. 9,MEDIUM,OPEN,Activity 'Occupational Health Records' assessed against Art. 9: documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0019,ACT-003,Art. 44,HIGH,OPEN,Activity 'Occupational Health Records' assessed against Art. 44: documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0020,ACT-003,Art. 12(3),LOW,OPEN,Activity 'Occupational Health Records' assessed against Art. 12(3): documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0021,ACT-003,Art. 5(2),MEDIUM,OPEN,Activity 'Occupational Health Records' assessed against Art. 5(2): documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0022,ACT-003,Art. 5(1)(e),HIGH,OPEN,Activity 'Occupational Health Records' assessed against Art. 5(1)(e): documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0023,ACT-003,Art. 30(1),LOW,OPEN,Activity 'Occupational Health Records' assessed against Art. 30(1): documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0024,ACT-003,Art. 28(3),MEDIUM,OPEN,Activity 'Occupational Health Records' assessed against Art. 28(3): documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0025,ACT-004,Art. 9,MEDIUM,OPEN,Activity 'Subscription Billing' assessed against Art. 9: documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0026,ACT-004,Art. 44,HIGH,IN_PROGRESS,Activity 'Subscription Billing' assessed against Art. 44: documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0027,ACT-004,Art. 12(3),LOW,REMEDIATED,Activity 'Subscription Billing' assessed against Art. 12(3): documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0028,ACT-004,Art. 5(2),MEDIUM,OPEN,Activity 'Subscription Billing' assessed against Art. 5(2): documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0029,ACT-004,Art. 5(1)(e),HIGH,IN_PROGRESS,Activity 'Subscription Billing' assessed against Art. 5(1)(e): documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0030,ACT-004,Art. 30(1),LOW,REMEDIATED,Activity 'Subscription Billing' assessed against Art. 30(1): documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0031,ACT-004,Art. 28(3),MEDIUM,OPEN,Activity 'Subscription Billing' assessed against Art. 28(3): documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0032,ACT-004,Art. 32(1),HIGH,IN_PROGRESS,Activity 'Subscription Billing' assessed against Art. 32(1): documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0033,ACT-005,Art. 44,HIGH,OPEN,Activity 'Email Marketing Campaigns' assessed against Art. 44: documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0034,ACT-005,Art. 12(3),LOW,REMEDIATED,Activity 'Email Marketing Campaigns' assessed against Art. 12(3): documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0035,ACT-005,Art. 5(2),MEDIUM,IN_PROGRESS,Activity 'Email Marketing Campaigns' assessed against Art. 5(2): documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0036,ACT-005,Art. 5(1)(e),HIGH,OPEN,Activity 'Email Marketing Campaigns' assessed against Art. 5(1)(e): documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0037,ACT-005,Art. 30(1),LOW,REMEDIATED,Activity 'Email Marketing Campaigns' assessed against Art. 30(1): documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0038,ACT-005,Art. 28(3),MEDIUM,IN_PROGRESS,Activity 'Email Marketing Campaigns' assessed against Art. 28(3): documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0039,ACT-005,Art. 32(1),HIGH,OPEN,Activity 'Email Marketing Campaigns' assessed against Art. 32(1): documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0040,ACT-005,Art. 9,LOW,REMEDIATED,Activity 'Email Marketing Campaigns' assessed against Art. 9: documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0041,ACT-006,Art. 12(3),LOW,OPEN,Activity 'Product Usage Analytics' assessed against Art. 12(3): documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0042,ACT-006,Art. 5(2),MEDIUM,OPEN,Activity 'Product Usage Analytics' assessed against Art. 5(2): documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0043,ACT-006,Art. 5(1)(e),HIGH,OPEN,Activity 'Product Usage Analytics' assessed against Art. 5(1)(e): documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0044,ACT-006,Art. 30(1),LOW,OPEN,Activity 'Product Usage Analytics' assessed against Art. 30(1): documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0045,ACT-006,Art. 28(3),MEDIUM,OPEN,Activity 'Product Usage Analytics' assessed against Art. 28(3): documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0046,ACT-006,Art. 32(1),HIGH,OPEN,Activity 'Product Usage Analytics' assessed against Art. 32(1): documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0047,ACT-006,Art. 9,LOW,OPEN,Activity 'Product Usage Analytics' assessed against Art. 9: documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0048,ACT-006,Art. 44,MEDIUM,OPEN,Activity 'Product Usage Analytics' assessed against Art. 44: documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0049,ACT-007,Art. 5(2),MEDIUM,OPEN,Activity 'HR Performance Analytics' assessed against Art. 5(2): documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0050,ACT-007,Art. 5(1)(e),HIGH,IN_PROGRESS,Activity 'HR Performance Analytics' assessed against Art. 5(1)(e): documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0051,ACT-007,Art. 30(1),LOW,REMEDIATED,Activity 'HR Performance Analytics' assessed against Art. 30(1): documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
