cve_id,package,ecosystem,version_affected,version_fixed,severity_score,severity_label,cvss_vector,published_date,description
CVE-2026-21847,lib-tinypath,cargo,<1.4.2,1.4.3-patch,8.7,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:L,2026-02-28,"Path traversal vulnerability in lib-tinypath v1.4.2 allows remote attackers to read arbitrary files via crafted path segments."
CVE-2025-60911,rand,cargo,<1.0.5,1.2.5,2.0,LOW,CVSS:3.1/AV:P/AC:H/PR:H/UI:R/S:U/C:N/I:N/A:L,2025-12-09,"Security issue in rand version <1.0.5"
CVE-2025-42853,rich,cargo,<3.5.1,2.0.1,9.1,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,2025-09-19,"Security issue in rich version <3.5.1"
CVE-2025-61113,github.com/sirupsen/logrus,cargo,<2.5.3,4.9.1,2.0,LOW,CVSS:3.1/AV:P/AC:H/PR:H/UI:R/S:U/C:N/I:N/A:L,2025-10-19,"Security issue in github.com/sirupsen/logrus version <2.5.3"
CVE-2022-88951,byteorder,cargo,<4.2.1,1.9.2,9.1,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,2022-09-24,"Security issue in byteorder version <4.2.1"
CVE-2023-81498,numpy,cargo,<4.10.3,5.5.8,7.5,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,2023-05-26,"Security issue in numpy version <4.10.3"
CVE-2023-60229,chalk,cargo,<4.6.5,4.5.1,9.1,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,2023-03-04,"Security issue in chalk version <4.6.5"
CVE-2020-52622,serde,cargo,<2.9.2,1.0.8,2.0,LOW,CVSS:3.1/AV:P/AC:H/PR:H/UI:R/S:U/C:N/I:N/A:L,2020-03-19,"Security issue in serde version <2.9.2"
CVE-2023-95718,byteorder,cargo,<2.6.5,2.10.8,3.1,LOW,CVSS:3.1/AV:L/AC:H/PR:H/UI:R/S:U/C:L/I:N/A:N,2023-05-17,"Security issue in byteorder version <2.6.5"
CVE-2021-66849,golang.org/x/sync,cargo,<3.8.5,2.0.1,5.4,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:N,2021-07-28,"Security issue in golang.org/x/sync version <3.8.5"
CVE-2022-73173,serde,cargo,<5.0.1,4.0.5,3.1,LOW,CVSS:3.1/AV:L/AC:H/PR:H/UI:R/S:U/C:L/I:N/A:N,2022-06-12,"Security issue in serde version <5.0.1"
CVE-2022-90972,anyhow,cargo,<5.7.3,5.1.2,2.0,LOW,CVSS:3.1/AV:P/AC:H/PR:H/UI:R/S:U/C:N/I:N/A:L,2022-01-25,"Security issue in anyhow version <5.7.3"
CVE-2021-74967,httpx,cargo,<1.3.2,5.4.2,9.1,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,2021-11-12,"Security issue in httpx version <1.3.2"
CVE-2025-38898,github.com/sirupsen/logrus,cargo,<4.8.3,4.3.4,5.4,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:N,2025-02-05,"Security issue in github.com/sirupsen/logrus version <4.8.3"
CVE-2020-39878,log,cargo,<3.4.5,1.2.7,7.5,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,2020-07-03,"Security issue in log version <3.4.5"
CVE-2022-14500,rich,cargo,<3.10.1,5.9.3,7.5,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,2022-02-04,"Security issue in rich version <3.10.1"
CVE-2022-98816,lodash,cargo,<2.1.3,3.0.8,7.5,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,2022-03-08,"Security issue in lodash version <2.1.3"
CVE-2021-53308,rich,cargo,<5.10.1,1.3.1,9.1,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,2021-04-12,"Security issue in rich version <5.10.1"
CVE-2022-13688,golang.org/x/sync,cargo,<1.6.3,5.5.1,9.1,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,2022-06-02,"Security issue in golang.org/x/sync version <1.6.3"
CVE-2024-82368,clap,cargo,<4.7.2,5.3.8,3.1,LOW,CVSS:3.1/AV:L/AC:H/PR:H/UI:R/S:U/C:L/I:N/A:N,2024-02-02,"Security issue in clap version <4.7.2"
CVE-2023-27651,lodash,cargo,<5.8.4,5.9.2,9.1,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,2023-09-07,"Security issue in lodash version <5.8.4"
CVE-2022-36707,numpy,cargo,<5.7.4,3.3.8,5.4,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:N,2022-03-14,"Security issue in numpy version <5.7.4"
CVE-2022-15741,lodash,cargo,<3.0.3,2.8.4,3.1,LOW,CVSS:3.1/AV:L/AC:H/PR:H/UI:R/S:U/C:L/I:N/A:N,2022-02-04,"Security issue in lodash version <3.0.3"
CVE-2023-66747,typer,cargo,<2.7.0,2.5.6,7.5,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,2023-07-09,"Security issue in typer version <2.7.0"
CVE-2020-83666,golang.org/x/sync,cargo,<5.10.4,5.7.9,7.5,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,2020-04-28,"Security issue in golang.org/x/sync version <5.10.4"
CVE-2024-92176,clap,cargo,<2.4.1,2.6.6,9.1,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,2024-01-28,"Security issue in clap version <2.4.1"
CVE-2021-52380,rich,cargo,<5.2.4,4.5.3,5.4,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:N,2021-02-05,"Security issue in rich version <5.2.4"
CVE-2025-75478,numpy,cargo,<3.4.4,2.0.6,9.1,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,2025-08-26,"Security issue in numpy version <3.4.4"
CVE-2024-67221,log,cargo,<2.10.2,4.7.4,3.1,LOW,CVSS:3.1/AV:L/AC:H/PR:H/UI:R/S:U/C:L/I:N/A:N,2024-07-12,"Security issue in log version <2.10.2"
CVE-2024-25874,golang.org/x/sync,cargo,<2.4.5,5.8.7,5.4,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:N,2024-08-04,"Security issue in golang.org/x/sync version <2.4.5"
CVE-2024-15001,commander,cargo,<4.9.1,2.5.3,9.1,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,2024-03-06,"Security issue in commander version <4.9.1"
CVE-2025-50963,serde,cargo,<4.0.0,1.3.8,3.1,LOW,CVSS:3.1/AV:L/AC:H/PR:H/UI:R/S:U/C:L/I:N/A:N,2025-05-17,"Security issue in serde version <4.0.0"
CVE-2024-12397,github.com/spf13/cobra,cargo,<3.2.1,3.9.9,5.4,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:N,2024-08-15,"Security issue in github.com/spf13/cobra version <3.2.1"
CVE-2025-39987,pydantic,cargo,<2.7.4,3.4.1,9.1,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,2025-07-26,"Security issue in pydantic version <2.7.4"
CVE-2021-40390,github.com/sirupsen/logrus,cargo,<1.5.0,3.10.7,3.1,LOW,CVSS:3.1/AV:L/AC:H/PR:H/UI:R/S:U/C:L/I:N/A:N,2021-03-11,"Security issue in github.com/sirupsen/logrus version <1.5.0"
CVE-2021-12229,httpx,cargo,<1.7.5,3.7.4,9.1,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,2021-06-09,"Security issue in httpx version <1.7.5"
CVE-2025-15335,golang.org/x/sync,cargo,<5.5.5,1.9.4,3.1,LOW,CVSS:3.1/AV:L/AC:H/PR:H/UI:R/S:U/C:L/I:N/A:N,2025-03-27,"Security issue in golang.org/x/sync version <5.5.5"
CVE-2022-20759,pydantic,cargo,<1.6.4,1.4.3,7.5,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,2022-02-23,"Security issue in pydantic version <1.6.4"
CVE-2023-20025,byteorder,cargo,<5.2.3,1.10.6,3.1,LOW,CVSS:3.1/AV:L/AC:H/PR:H/UI:R/S:U/C:L/I:N/A:N,2023-09-16,"Security issue in byteorder version <5.2.3"
CVE-2023-69636,rand,cargo,<4.5.0,2.7.6,2.0,LOW,CVSS:3.1/AV:P/AC:H/PR:H/UI:R/S:U/C:N/I:N/A:L,2023-12-09,"Security issue in rand version <4.5.0"
CVE-2024-11309,byteorder,cargo,<3.8.0,2.8.8,9.1,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,2024-07-24,"Security issue in byteorder version <3.8.0"
CVE-2021-69129,golang.org/x/sync,cargo,<2.3.0,1.9.3,5.4,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:N,2021-12-02,"Security issue in golang.org/x/sync version <2.3.0"
CVE-2025-42250,lodash,cargo,<2.3.3,5.8.2,5.4,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:N,2025-04-25,"Security issue in lodash version <2.3.3"
CVE-2020-28293,serde,cargo,<1.4.3,3.5.8,2.0,LOW,CVSS:3.1/AV:P/AC:H/PR:H/UI:R/S:U/C:N/I:N/A:L,2020-11-09,"Security issue in serde version <1.4.3"
CVE-2024-75508,lodash,cargo,<2.7.5,1.6.2,7.5,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,2024-09-19,"Security issue in lodash version <2.7.5"
CVE-2022-30764,clap,cargo,<4.5.1,5.6.6,5.4,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:N,2022-02-08,"Security issue in clap version <4.5.1"
CVE-2022-44140,rand,cargo,<4.8.2,3.7.3,9.1,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,2022-01-15,"Security issue in rand version <4.8.2"
CVE-2021-82679,httpx,cargo,<1.5.5,2.4.4,5.4,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:N,2021-11-08,"Security issue in httpx version <1.5.5"
CVE-2022-40915,typer,cargo,<2.2.2,2.10.6,9.1,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,2022-02-06,"Security issue in typer version <2.2.2"
CVE-2023-64658,rich,cargo,<1.1.2,4.3.9,7.5,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,2023-03-12,"Security issue in rich version <1.1.2"
CVE-2024-85501,serde,cargo,<2.1.3,5.0.8,3.1,LOW,CVSS:3.1/AV:L/AC:H/PR:H/UI:R/S:U/C:L/I:N/A:N,2024-02-26,"Security issue in serde version <2.1.3"
CVE-2021-32683,serde,cargo,<5.0.5,2.2.8,2.0,LOW,CVSS:3.1/AV:P/AC:H/PR:H/UI:R/S:U/C:N/I:N/A:L,2021-02-11,"Security issue in serde version <5.0.5"
