order_id,symbol,side,quantity,aros_trigger_utc,aros_trigger_utc_wrong,expected_settlement_utc,actual_settlement_utc,delta_minutes,settlement_status
AROS-020241103000,RTY,BUY,48,2024-11-03T21:06:00Z,2024-11-03T20:06:00Z,2024-11-04T21:00:00Z,2024-11-04T22:00:00Z,60,FAIL
AROS-020241103001,RTY,SELL,30,2024-11-03T20:30:00Z,2024-11-03T19:30:00Z,2024-11-04T21:00:00Z,2024-11-04T22:00:00Z,60,PENDING
AROS-020241103002,NQ,SELL,45,2024-11-03T17:36:00Z,2024-11-03T16:36:00Z,2024-11-04T21:00:00Z,2024-11-04T22:00:00Z,60,LATE
AROS-020241103003,RTY,BUY,30,2024-11-03T18:04:00Z,2024-11-03T17:04:00Z,2024-11-04T21:00:00Z,2024-11-04T22:00:00Z,60,LATE
AROS-020241103004,ES,BUY,2,2024-11-03T16:30:00Z,2024-11-03T15:30:00Z,2024-11-04T21:00:00Z,2024-11-04T22:00:00Z,60,PENDING
AROS-020241103005,ES,BUY,5,2024-11-03T16:43:00Z,2024-11-03T15:43:00Z,2024-11-04T21:00:00Z,2024-11-04T22:00:00Z,60,FAIL
AROS-020241103006,ES,BUY,9,2024-11-03T16:42:00Z,2024-11-03T15:42:00Z,2024-11-04T21:00:00Z,2024-11-04T22:00:00Z,60,LATE
AROS-020241103007,YM,BUY,35,2024-11-03T19:05:00Z,2024-11-03T18:05:00Z,2024-11-04T21:00:00Z,2024-11-04T22:00:00Z,60,FAIL
AROS-020241103008,RTY,BUY,26,2024-11-03T19:54:00Z,2024-11-03T18:54:00Z,2024-11-04T21:00:00Z,2024-11-04T22:00:00Z,60,FAIL
AROS-020241103009,ES,SELL,12,2024-11-03T21:41:00Z,2024-11-03T20:41:00Z,2024-11-04T21:00:00Z,2024-11-04T22:00:00Z,60,LATE
AROS-020241103010,NQ,BUY,36,2024-11-03T15:37:00Z,2024-11-03T14:37:00Z,2024-11-04T21:00:00Z,2024-11-04T22:00:00Z,60,LATE
AROS-020241103011,ES,BUY,44,2024-11-03T18:53:00Z,2024-11-03T17:53:00Z,2024-11-04T21:00:00Z,2024-11-04T22:00:00Z,60,FAIL
AROS-020241103012,RTY,SELL,50,2024-11-03T20:08:00Z,2024-11-03T19:08:00Z,2024-11-04T21:00:00Z,2024-11-04T22:00:00Z,60,LATE
AROS-020241103013,YM,SELL,45,2024-11-03T17:48:00Z,2024-11-03T16:48:00Z,2024-11-04T21:00:00Z,2024-11-04T22:00:00Z,60,LATE
AROS-020241103014,YM,BUY,3,2024-11-03T20:25:00Z,2024-11-03T19:25:00Z,2024-11-04T21:00:00Z,2024-11-04T22:00:00Z,60,LATE
AROS-020241103015,RTY,SELL,23,2024-11-03T20:43:00Z,2024-11-03T19:43:00Z,2024-11-04T21:00:00Z,2024-11-04T22:00:00Z,60,LATE
AROS-020241103016,YM,SELL,23,2024-11-03T15:42:00Z,2024-11-03T14:42:00Z,2024-11-04T21:00:00Z,2024-11-04T22:00:00Z,60,PENDING
AROS-020241103017,ES,SELL,49,2024-11-03T15:44:00Z,2024-11-03T14:44:00Z,2024-11-04T21:00:00Z,2024-11-04T22:00:00Z,60,PENDING
AROS-020241103018,YM,BUY,39,2024-11-03T19:51:00Z,2024-11-03T18:51:00Z,2024-11-04T21:00:00Z,2024-11-04T22:00:00Z,60,FAIL
AROS-020241103019,RTY,SELL,42,2024-11-03T21:28:00Z,2024-11-03T20:28:00Z,2024-11-04T21:00:00Z,2024-11-04T22:00:00Z,60,PENDING
AROS-020241103020,ES,SELL,24,2024-11-03T16:00:00Z,2024-11-03T15:00:00Z,2024-11-04T21:00:00Z,2024-11-04T22:00:00Z,60,LATE
AROS-020241103021,RTY,SELL,47,2024-11-03T16:25:00Z,2024-11-03T15:25:00Z,2024-11-04T21:00:00Z,2024-11-04T22:00:00Z,60,FAIL
AROS-020241103022,YM,SELL,34,2024-11-03T21:56:00Z,2024-11-03T20:56:00Z,2024-11-04T21:00:00Z,2024-11-04T22:00:00Z,60,FAIL
AROS-020241103023,YM,SELL,22,2024-11-03T18:30:00Z,2024-11-03T17:30:00Z,2024-11-04T21:00:00Z,2024-11-04T22:00:00Z,60,LATE
AROS-020241103024,NQ,BUY,45,2024-11-03T19:39:00Z,2024-11-03T18:39:00Z,2024-11-04T21:00:00Z,2024-11-04T22:00:00Z,60,FAIL
AROS-020241103025,RTY,BUY,33,2024-11-03T17:52:00Z,2024-11-03T16:52:00Z,2024-11-04T21:00:00Z,2024-11-04T22:00:00Z,60,PENDING
AROS-020241103026,RTY,SELL,2,2024-11-03T17:33:00Z,2024-11-03T16:33:00Z,2024-11-04T21:00:00Z,2024-11-04T22:00:00Z,60,FAIL
AROS-020241103027,ES,BUY,49,2024-11-03T20:54:00Z,2024-11-03T19:54:00Z,2024-11-04T21:00:00Z,2024-11-04T22:00:00Z,60,FAIL
AROS-020241103028,YM,BUY,48,2024-11-03T15:20:00Z,2024-11-03T14:20:00Z,2024-11-04T21:00:00Z,2024-11-04T22:00:00Z,60,FAIL
AROS-020241103029,RTY,BUY,34,2024-11-03T20:57:00Z,2024-11-03T19:57:00Z,2024-11-04T21:00:00Z,2024-11-04T22:00:00Z,60,PENDING
AROS-020241103030,RTY,BUY,22,2024-11-03T17:55:00Z,2024-11-03T16:55:00Z,2024-11-04T21:00:00Z,2024-11-04T22:00:00Z,60,LATE
AROS-020241103031,YM,BUY,13,2024-11-03T15:05:00Z,2024-11-03T14:05:00Z,2024-11-04T21:00:00Z,2024-11-04T22:00:00Z,60,PENDING
AROS-020241103032,ES,SELL,10,2024-11-03T20:16:00Z,2024-11-03T19:16:00Z,2024-11-04T21:00:00Z,2024-11-04T22:00:00Z,60,PENDING
AROS-020241103033,NQ,SELL,25,2024-11-03T19:09:00Z,2024-11-03T18:09:00Z,2024-11-04T21:00:00Z,2024-11-04T22:00:00Z,60,LATE
AROS-020241103034,YM,SELL,5,2024-11-03T21:10:00Z,2024-11-03T20:10:00Z,2024-11-04T21:00:00Z,2024-11-04T22:00:00Z,60,LATE
AROS-020241103035,ES,BUY,33,2024-11-03T21:32:00Z,2024-11-03T20:32:00Z,2024-11-04T21:00:00Z,2024-11-04T22:00:00Z,60,PENDING
AROS-020241103036,YM,BUY,12,2024-11-03T21:54:00Z,2024-11-03T20:54:00Z,2024-11-04T21:00:00Z,2024-11-04T22:00:00Z,60,LATE
AROS-020241103037,ES,BUY,1,2024-11-03T17:48:00Z,2024-11-03T16:48:00Z,2024-11-04T21:00:00Z,2024-11-04T22:00:00Z,60,PENDING
AROS-020241103038,YM,SELL,5,2024-11-03T20:42:00Z,2024-11-03T19:42:00Z,2024-11-04T21:00:00Z,2024-11-04T22:00:00Z,60,FAIL
AROS-020241103039,NQ,BUY,9,2024-11-03T19:34:00Z,2024-11-03T18:34:00Z,2024-11-04T21:00:00Z,2024-11-04T22:00:00Z,60,PENDING
AROS-020241103040,YM,SELL,41,2024-11-03T21:57:00Z,2024-11-03T20:57:00Z,2024-11-04T21:00:00Z,2024-11-04T22:00:00Z,60,FAIL
AROS-020241103041,ES,BUY,12,2024-11-03T18:48:00Z,2024-11-03T17:48:00Z,2024-11-04T21:00:00Z,2024-11-04T22:00:00Z,60,PENDING
AROS-020241103042,ES,BUY,1,2024-11-03T19:09:00Z,2024-11-03T18:09:00Z,2024-11-04T21:00:00Z,2024-11-04T22:00:00Z,60,FAIL
AROS-020241103043,RTY,BUY,39,2024-11-03T15:59:00Z,2024-11-03T14:59:00Z,2024-11-04T21:00:00Z,2024-11-04T22:00:00Z,60,FAIL
AROS-020241103044,RTY,SELL,26,2024-11-03T19:29:00Z,2024-11-03T18:29:00Z,2024-11-04T21:00:00Z,2024-11-04T22:00:00Z,60,FAIL
AROS-020241103045,RTY,SELL,13,2024-11-03T18:10:00Z,2024-11-03T17:10:00Z,2024-11-04T21:00:00Z,2024-11-04T22:00:00Z,60,LATE
AROS-020241103046,YM,SELL,9,2024-11-03T19:09:00Z,2024-11-03T18:09:00Z,2024-11-04T21:00:00Z,2024-11-04T22:00:00Z,60,FAIL
AROS-020241103047,ES,SELL,39,2024-11-03T19:27:00Z,2024-11-03T18:27:00Z,2024-11-04T21:00:00Z,2024-11-04T22:00:00Z,60,FAIL
AROS-020241103048,RTY,BUY,50,2024-11-03T15:31:00Z,2024-11-03T14:31:00Z,2024-11-04T21:00:00Z,2024-11-04T22:00:00Z,60,PENDING
AROS-020241103049,ES,SELL,27,2024-11-03T15:44:00Z,2024-11-03T14:44:00Z,2024-11-04T21:00:00Z,2024-11-04T22:00:00Z,60,FAIL
AROS-020241103050,RTY,BUY,49,2024-11-03T18:30:00Z,2024-11-03T17:30:00Z,2024-11-04T21:00:00Z,2024-11-04T22:00:00Z,60,LATE
AROS-020241103051,YM,SELL,2,2024-11-03T20:00:00Z,2024-11-03T19:00:00Z,2024-11-04T21:00:00Z,2024-11-04T22:00:00Z,60,PENDING
AROS-020241103052,NQ,BUY,33,2024-11-03T16:44:00Z,2024-11-03T15:44:00Z,2024-11-04T21:00:00Z,2024-11-04T22:00:00Z,60,LATE
AROS-020241103053,ES,SELL,27,2024-11-03T16:48:00Z,2024-11-03T15:48:00Z,2024-11-04T21:00:00Z,2024-11-04T22:00:00Z,60,PENDING
AROS-020241103054,ES,BUY,13,2024-11-03T16:27:00Z,2024-11-03T15:27:00Z,2024-11-04T21:00:00Z,2024-11-04T22:00:00Z,60,FAIL
AROS-020241103055,ES,SELL,7,2024-11-03T20:28:00Z,2024-11-03T19:28:00Z,2024-11-04T21:00:00Z,2024-11-04T22:00:00Z,60,PENDING
AROS-020241103056,ES,SELL,30,2024-11-03T20:16:00Z,2024-11-03T19:16:00Z,2024-11-04T21:00:00Z,2024-11-04T22:00:00Z,60,LATE
AROS-020241103057,RTY,SELL,16,2024-11-03T20:11:00Z,2024-11-03T19:11:00Z,2024-11-04T21:00:00Z,2024-11-04T22:00:00Z,60,PENDING
AROS-020241103058,NQ,BUY,22,2024-11-03T15:00:00Z,2024-11-03T14:00:00Z,2024-11-04T21:00:00Z,2024-11-04T22:00:00Z,60,LATE
AROS-020241103059,NQ,BUY,41,2024-11-03T15:31:00Z,2024-11-03T14:31:00Z,2024-11-04T21:00:00Z,2024-11-04T22:00:00Z,60,FAIL
AROS-020241103060,YM,SELL,2,2024-11-03T20:25:00Z,2024-11-03T19:25:00Z,2024-11-04T21:00:00Z,2024-11-04T22:00:00Z,60,FAIL
