cve_id,package,version,ecosystem,cvss_score,severity,status,fix_version,notes
CVE-2026-21847,lib-tinypath,1.4.2,cargo,8.7,HIGH,OPEN,1.4.1,Path traversal via crafted path segments; NVD record active as of 2026-04-12
CVE-2026-19201,lodash,4.17.20,npm,7.5,HIGH,OPEN,4.17.21,Prototype pollution
CVE-2026-18744,axios,1.6.7,npm,6.1,MEDIUM,OPEN,1.6.8,SSRF in redirect handling
CVE-2025-44812,pydantic,2.6.1,pypi,5.3,MEDIUM,PATCHED,2.7.0,ReDoS in validator
CVE-2025-39120,golang.org/x/sys,v0.18.0,gomod,4.4,MEDIUM,PATCHED,v0.19.0,Privilege escalation
CVE-2024-57812,serde,1.0.195,cargo,3.7,LOW,PATCHED,1.0.197,Minor deserialization issue
CVE-2022-42545,util-alpha-000,0.1.0,npm,1.0,LOW,PATCHED,,Automated scan finding
CVE-2021-57258,util-beta-001,1.2.3,cargo,3.2,LOW,PATCHED,,Automated scan finding
CVE-2022-47214,util-gamma-002,2.0.1,pypi,1.6,LOW,OPEN,,Automated scan finding
CVE-2024-40135,util-delta-003,0.9.0,gomod,5.3,MEDIUM,N/A,,Automated scan finding
CVE-2023-98391,util-epsilon-004,3.1.4,npm,1.4,MEDIUM,PATCHED,,Automated scan finding
CVE-2021-59167,util-zeta-005,1.0.0,cargo,5.5,INFO,PATCHED,,Automated scan finding
CVE-2020-90524,util-eta-006,0.5.2,pypi,2.9,LOW,PATCHED,,Automated scan finding
CVE-2022-55269,util-theta-007,4.2.0,gomod,2.2,LOW,OPEN,,Automated scan finding
CVE-2023-66570,util-alpha-008,0.1.0,npm,5.1,LOW,N/A,,Automated scan finding
CVE-2022-87119,util-beta-009,1.2.3,cargo,5.7,MEDIUM,PATCHED,,Automated scan finding
CVE-2020-76303,util-gamma-010,2.0.1,pypi,0.6,MEDIUM,PATCHED,,Automated scan finding
CVE-2020-87328,util-delta-011,0.9.0,gomod,5.4,INFO,PATCHED,,Automated scan finding
CVE-2020-70937,util-epsilon-012,3.1.4,npm,2.4,LOW,OPEN,,Automated scan finding
CVE-2025-46606,util-zeta-013,1.0.0,cargo,4.8,LOW,N/A,,Automated scan finding
CVE-2023-64493,util-eta-014,0.5.2,pypi,1.1,LOW,PATCHED,,Automated scan finding
CVE-2020-83517,util-theta-015,4.2.0,gomod,0.8,MEDIUM,PATCHED,,Automated scan finding
CVE-2020-79729,util-alpha-016,0.1.0,npm,0.8,MEDIUM,PATCHED,,Automated scan finding
CVE-2023-56601,util-beta-017,1.2.3,cargo,2.4,INFO,OPEN,,Automated scan finding
CVE-2024-96611,util-gamma-018,2.0.1,pypi,0.8,LOW,N/A,,Automated scan finding
CVE-2023-99422,util-delta-019,0.9.0,gomod,2.4,LOW,PATCHED,,Automated scan finding
CVE-2023-89619,util-epsilon-020,3.1.4,npm,3.0,LOW,PATCHED,,Automated scan finding
CVE-2023-81832,util-zeta-021,1.0.0,cargo,2.8,MEDIUM,PATCHED,,Automated scan finding
CVE-2023-84262,util-eta-022,0.5.2,pypi,3.1,MEDIUM,OPEN,,Automated scan finding
CVE-2021-42618,util-theta-023,4.2.0,gomod,0.7,INFO,N/A,,Automated scan finding
CVE-2020-34727,util-alpha-024,0.1.0,npm,4.9,LOW,PATCHED,,Automated scan finding
CVE-2023-55094,util-beta-025,1.2.3,cargo,3.8,LOW,PATCHED,,Automated scan finding
CVE-2022-10440,util-gamma-026,2.0.1,pypi,2.3,LOW,PATCHED,,Automated scan finding
CVE-2023-10771,util-delta-027,0.9.0,gomod,3.7,MEDIUM,OPEN,,Automated scan finding
CVE-2023-30928,util-epsilon-028,3.1.4,npm,5.1,MEDIUM,N/A,,Automated scan finding
CVE-2023-12537,util-zeta-029,1.0.0,cargo,3.8,INFO,PATCHED,,Automated scan finding
CVE-2023-95433,util-eta-030,0.5.2,pypi,0.1,LOW,PATCHED,,Automated scan finding
CVE-2021-82364,util-theta-031,4.2.0,gomod,3.0,LOW,PATCHED,,Automated scan finding
CVE-2021-87347,util-alpha-032,0.1.0,npm,0.6,LOW,OPEN,,Automated scan finding
CVE-2021-95306,util-beta-033,1.2.3,cargo,0.6,MEDIUM,N/A,,Automated scan finding
CVE-2020-68008,util-gamma-034,2.0.1,pypi,3.2,MEDIUM,PATCHED,,Automated scan finding
CVE-2020-18975,util-delta-035,0.9.0,gomod,5.3,INFO,PATCHED,,Automated scan finding
