study_id,product_tested,ingredient,study_type,control_group,randomized,blinded,sample_size,duration_weeks,primary_endpoint,result_direction,statistical_significance_p,clinical_meaningful,ftc_evidence_tier,standalone_sufficient_for_claim,claim_type_supported,limitations,funding_source,publication_year,journal,ftc_assessment
STU-0001,ProBio+ Daily component,Riboflavin,RCT,YES,YES,YES,413,45,inflammatory_markers,positive,0.2202,NO,Tier_2_observational,CONDITIONAL,energy_metabolism,high dropout rate; small sample size; short duration,NIH grant,2023,Probiotics & Antimicrobials,Insufficient for energy_metabolism claim under FTC standards
STU-0002,ProBio+ Daily component,Lactobacillus acidophilus NCFM,RCT,YES,YES,YES,200,26,immune_markers_IgA,neutral,0.1107,NO,Tier_2_observational,CONDITIONAL,immune_function,high dropout rate; no product-specific testing,NIH grant,2024,J Functional Foods,Insufficient for immune_function claim under FTC standards
STU-0003,ProBio+ Daily component,Niacin (Niacinamide),consumer_survey,NO,NO,NO,380,6,cognitive_performance,negative,0.2495,NO,Tier_3_insufficient,NO,energy_metabolism,healthy volunteers only; no blinding; surrogate endpoints only,Industry + independent verification,2015,Food Research International,Insufficient for energy_metabolism claim under FTC standards
STU-0004,ProBio+ Daily component,Vitamin B12 (Methylcobalamin),in_vitro,NO,NO,NO,0,7,bloating_score,neutral,0.5371,NO,Tier_3_insufficient,NO,digestive_health,single center,EU research fund,2021,BMJ Open,Insufficient for digestive_health claim under FTC standards
STU-0005,ProBio+ Daily component,Folate (L-Methylfolate),open_label_trial,NO,NO,NO,274,12,gut_microbiome_diversity,positive,0.1348,NO,Tier_2_pilot,NO,digestive_health,no control group; high dropout rate; industry funded,Industry + independent verification,2025,J Clinical Nutrition,Insufficient for digestive_health claim under FTC standards
STU-0006,ProBio+ Daily component,Vitamin B6 (Pyridoxine HCl),RCT,YES,YES,YES,48,19,skin_hydration,positive,0.0861,NO,Tier_2_observational,CONDITIONAL,energy_metabolism,small sample size; no blinding; no control group; single center,Industry + independent verification,2016,JAMA,Insufficient for energy_metabolism claim under FTC standards
STU-0007,ProBio+ Daily component,Riboflavin,pilot_study,NO,NO,NO,32,33,bloating_score,negative,0.235,NO,Tier_2_pilot,NO,digestive_health,surrogate endpoints only; no product-specific testing; single center; high dropout rate,NIH grant,2015,BMJ Open,Insufficient for digestive_health claim under FTC standards
STU-0008,ProBio+ Daily component,Lactobacillus acidophilus NCFM,in_vitro,NO,NO,NO,0,4,bioavailability,positive,0.0931,NO,Tier_3_insufficient,NO,energy_metabolism,no control group; industry funded; no blinding,Industry + independent verification,2016,J Clinical Nutrition,Insufficient for energy_metabolism claim under FTC standards
STU-0009,ProBio+ Daily component,Vitamin B6 (Pyridoxine HCl),pilot_study,NO,NO,NO,226,19,URTI_frequency,positive,0.2276,NO,Tier_2_pilot,NO,energy_metabolism,surrogate endpoints only; industry funded,Industry + independent verification,2022,J Clinical Nutrition,Insufficient for energy_metabolism claim under FTC standards
STU-0010,ProBio+ Daily component,Thiamine HCl,cohort_study,NO,NO,NO,204,24,gut_microbiome_diversity,positive,0.049,NO,Tier_2_observational,CONDITIONAL,digestive_health,small sample size; healthy volunteers only; no product-specific testing,EU research fund,2017,J Clinical Nutrition,Insufficient for digestive_health claim under FTC standards
STU-0011,ProBio+ Daily component,Thiamine HCl,consumer_survey,NO,NO,NO,299,13,antioxidant_capacity,positive,0.0115,NO,Tier_3_insufficient,NO,energy_metabolism,surrogate endpoints only; small sample size,EU research fund,2024,Probiotics & Antimicrobials,Insufficient for energy_metabolism claim under FTC standards
STU-0012,ProBio+ Daily component,Pantothenic Acid,RCT,YES,YES,NO,168,23,URTI_frequency,positive,0.0788,NO,Tier_2_observational,CONDITIONAL,energy_metabolism,single center; high dropout rate,Industry + independent verification,2019,JAMA,Insufficient for energy_metabolism claim under FTC standards
STU-0013,ProBio+ Daily component,Pantothenic Acid,meta_analysis,YES,NO,NO,97,29,NK_cell_activity,neutral,0.7217,NO,Tier_1_meta_analysis,YES,immune_function,small sample size; no control group; high dropout rate; short duration,Industry (manufacturer),2020,NEJM,Adequate for immune_function claim under FTC standards
STU-0014,ProBio+ Daily component,Riboflavin,in_vitro,NO,NO,NO,0,3,URTI_frequency,positive,0.0083,NO,Tier_3_insufficient,NO,energy_metabolism,no blinding; single center; small sample size,Industry + independent verification,2018,Probiotics & Antimicrobials,Insufficient for energy_metabolism claim under FTC standards
STU-0015,ProBio+ Daily component,Thiamine HCl,in_vitro,NO,NO,NO,0,1,bioavailability,positive,0.0461,NO,Tier_3_insufficient,NO,energy_metabolism,small sample size; short duration,EU research fund,2021,Nutrients,Insufficient for energy_metabolism claim under FTC standards
STU-0016,ProBio+ Daily component,Vitamin B6 (Pyridoxine HCl),open_label_trial,NO,NO,NO,318,9,bioavailability,positive,0.0381,NO,Tier_2_pilot,NO,energy_metabolism,no product-specific testing; small sample size,Academic institution,2018,Gut Microbes,Insufficient for energy_metabolism claim under FTC standards
STU-0017,ProBio+ Daily component,Lactobacillus plantarum 299v,open_label_trial,NO,NO,NO,390,9,energy_levels_self_report,neutral,0.4712,NO,Tier_2_pilot,NO,energy_metabolism,high dropout rate; short duration,NIH grant,2025,JAMA,Insufficient for energy_metabolism claim under FTC standards
STU-0018,ProBio+ Daily component,Folate (L-Methylfolate),consumer_survey,NO,NO,NO,415,7,energy_levels_self_report,positive,0.2223,NO,Tier_3_insufficient,NO,energy_metabolism,no product-specific testing; high dropout rate; healthy volunteers only; single center,EU research fund,2017,NEJM,Insufficient for energy_metabolism claim under FTC standards
STU-0019,ProBio+ Daily component,Vitamin B12 (Methylcobalamin),animal_model,NO,NO,NO,114,3,energy_levels_self_report,positive,0.05,NO,Tier_3_insufficient,NO,energy_metabolism,healthy volunteers only; short duration; industry funded; no blinding,Industry (manufacturer),2017,Food Research International,Insufficient for energy_metabolism claim under FTC standards
STU-0020,ProBio+ Daily component,Niacin (Niacinamide),meta_analysis,YES,NO,NO,193,37,NK_cell_activity,neutral,0.2292,NO,Tier_1_meta_analysis,YES,immune_function,single center; small sample size,Industry (manufacturer),2022,J Clinical Nutrition,Adequate for immune_function claim under FTC standards
STU-0021,ProBio+ Daily component,Niacin (Niacinamide),meta_analysis,YES,NO,NO,419,31,bioavailability,positive,0.2121,NO,Tier_1_meta_analysis,YES,energy_metabolism,no product-specific testing; high dropout rate; short duration,Industry (manufacturer),2017,JAMA,Adequate for energy_metabolism claim under FTC standards
STU-0022,ProBio+ Daily component,Lactobacillus acidophilus NCFM,cohort_study,NO,NO,NO,445,33,bloating_score,positive,0.1595,NO,Tier_2_observational,CONDITIONAL,digestive_health,industry funded; no blinding; high dropout rate,EU research fund,2016,Probiotics & Antimicrobials,Insufficient for digestive_health claim under FTC standards
STU-0023,ProBio+ Daily component,Riboflavin,RCT,YES,YES,NO,335,32,gut_microbiome_diversity,neutral,0.1514,NO,Tier_2_observational,CONDITIONAL,digestive_health,healthy volunteers only; no blinding,Industry (manufacturer),2015,Nutrients,Insufficient for digestive_health claim under FTC standards
STU-0024,ProBio+ Daily component,Biotin (D-Biotin),in_vitro,NO,NO,NO,0,8,energy_levels_self_report,positive,0.1172,NO,Tier_3_insufficient,NO,energy_metabolism,no control group; no blinding; healthy volunteers only; high dropout rate,EU research fund,2017,JAMA,Insufficient for energy_metabolism claim under FTC standards
STU-0025,ProBio+ Daily component,Biotin (D-Biotin),in_vitro,NO,NO,NO,0,5,inflammatory_markers,positive,0.2082,NO,Tier_3_insufficient,NO,energy_metabolism,high dropout rate; no product-specific testing; industry funded; healthy volunteers only,NIH grant,2024,J Functional Foods,Insufficient for energy_metabolism claim under FTC standards
STU-0026,ProBio+ Daily component,Lactobacillus plantarum 299v,meta_analysis,YES,NO,NO,444,22,bloating_score,negative,0.1803,NO,Tier_1_meta_analysis,YES,digestive_health,short duration; surrogate endpoints only; healthy volunteers only,Industry + independent verification,2025,Am J Clinical Nutrition,Adequate for digestive_health claim under FTC standards
STU-0027,ProBio+ Daily component,Niacin (Niacinamide),animal_model,NO,NO,NO,280,7,NK_cell_activity,positive,0.2332,NO,Tier_3_insufficient,NO,immune_function,no product-specific testing; surrogate endpoints only; high dropout rate,NIH grant,2022,Nutrients,Insufficient for immune_function claim under FTC standards
STU-0028,ProBio+ Daily component,Vitamin B12 (Methylcobalamin),meta_analysis,YES,NO,NO,328,21,inflammatory_markers,neutral,0.3592,NO,Tier_1_meta_analysis,YES,energy_metabolism,surrogate endpoints only; industry funded; single center,Industry (manufacturer),2016,BMJ Open,Adequate for energy_metabolism claim under FTC standards
STU-0029,ProBio+ Daily component,Biotin (D-Biotin),consumer_survey,NO,NO,NO,279,48,energy_levels_self_report,neutral,0.1594,NO,Tier_3_insufficient,NO,energy_metabolism,high dropout rate; single center; small sample size; surrogate endpoints only,EU research fund,2024,Food Research International,Insufficient for energy_metabolism claim under FTC standards
STU-0030,ProBio+ Daily component,Riboflavin,animal_model,NO,NO,NO,264,4,cognitive_performance,positive,0.1884,NO,Tier_3_insufficient,NO,energy_metabolism,no blinding; short duration; industry funded; no product-specific testing,Industry (manufacturer),2016,NEJM,Insufficient for energy_metabolism claim under FTC standards
STU-0031,ProBio+ Daily component,Biotin (D-Biotin),meta_analysis,YES,NO,NO,350,37,NK_cell_activity,positive,0.1937,NO,Tier_1_meta_analysis,YES,immune_function,no blinding; surrogate endpoints only,Industry (manufacturer),2015,BMJ Open,Adequate for immune_function claim under FTC standards
STU-0032,ProBio+ Daily component,Bifidobacterium lactis Bi-07,consumer_survey,NO,NO,NO,310,52,gut_microbiome_diversity,positive,0.1658,NO,Tier_3_insufficient,NO,digestive_health,short duration; no blinding; high dropout rate,NIH grant,2015,Am J Clinical Nutrition,Insufficient for digestive_health claim under FTC standards
STU-0033,ProBio+ Daily component,Lactobacillus acidophilus NCFM,open_label_trial,NO,NO,NO,218,50,NK_cell_activity,positive,0.1126,NO,Tier_2_pilot,NO,immune_function,single center; industry funded; surrogate endpoints only,Industry (manufacturer),2020,Nutrients,Insufficient for immune_function claim under FTC standards
STU-0034,ProBio+ Daily component,Pantothenic Acid,pilot_study,NO,NO,NO,416,10,antioxidant_capacity,positive,0.1085,NO,Tier_2_pilot,NO,energy_metabolism,small sample size; no product-specific testing,Industry (manufacturer),2024,Nutrients,Insufficient for energy_metabolism claim under FTC standards
STU-0035,ProBio+ Daily component,Lactobacillus plantarum 299v,pilot_study,NO,NO,NO,221,37,antioxidant_capacity,neutral,0.6263,NO,Tier_2_pilot,NO,energy_metabolism,no product-specific testing; no control group; short duration,Industry + independent verification,2021,J Clinical Nutrition,Insufficient for energy_metabolism claim under FTC standards
STU-0036,ProBio+ Daily component,Pantothenic Acid,open_label_trial,NO,NO,NO,406,8,inflammatory_markers,positive,0.1663,NO,Tier_2_pilot,NO,energy_metabolism,short duration; surrogate endpoints only; industry funded,Academic institution,2025,Am J Clinical Nutrition,Insufficient for energy_metabolism claim under FTC standards
STU-0037,ProBio+ Daily component,Niacin (Niacinamide),consumer_survey,NO,NO,NO,90,8,skin_hydration,neutral,0.5544,NO,Tier_3_insufficient,NO,energy_metabolism,short duration; small sample size,Industry + independent verification,2017,Nutrients,Insufficient for energy_metabolism claim under FTC standards
STU-0038,ProBio+ Daily component,Biotin (D-Biotin),cohort_study,NO,NO,NO,276,52,bloating_score,positive,0.1477,NO,Tier_2_observational,CONDITIONAL,digestive_health,no blinding,Industry (manufacturer),2025,Gut Microbes,Insufficient for digestive_health claim under FTC standards
STU-0039,ProBio+ Daily component,Lactobacillus plantarum 299v,in_vitro,NO,NO,NO,0,3,bioavailability,positive,0.1408,NO,Tier_3_insufficient,NO,energy_metabolism,no blinding; healthy volunteers only; no product-specific testing; single center,Industry (manufacturer),2015,J Clinical Nutrition,Insufficient for energy_metabolism claim under FTC standards
STU-0040,ProBio+ Daily component,Thiamine HCl,pilot_study,NO,NO,NO,70,26,inflammatory_markers,positive,0.1089,NO,Tier_2_pilot,NO,energy_metabolism,small sample size; short duration; single center; healthy volunteers only,Industry (manufacturer),2022,Gut Microbes,Insufficient for energy_metabolism claim under FTC standards
STU-0041,ProBio+ Daily component,Lactobacillus plantarum 299v,RCT,YES,YES,YES,271,31,skin_hydration,positive,0.015,YES,Tier_1_RCT,YES,energy_metabolism,short duration,Industry + independent verification,2022,NEJM,Adequate for energy_metabolism claim under FTC standards
