influencer_id,handle,platform,follower_count,post_date,campaign,disclosed_material_connection,disclosure_format,disclosure_position,post_reach,engagement_rate_pct,clicks,conversions,revenue_usd,claim_used,claim_compliant,ftc_issue_flag,penalty_risk_usd
INF-001,@drwellnessnetwork,Instagram,285000,2026-06-27,ProBio+ Q1,NO,none,none,52268,6.77,1762,29,1174.57,Clinically demonstrated to support immune function,NO,YES,51744.0
INF-002,@healthcoach_jay,TikTok,42000,2026-06-27,ProBio+ Q1,NO,#giftedpartnership at hashtag end,end_of_caption,17541,2.38,237,3,123.25,May help support immune health,NO,YES,51744.0
INF-003,@nutritionbyjessica,Instagram,67500,2026-06-26,ProBio+ Q1,YES,Ad: at beginning,beginning_of_caption,22315,5.56,851,29,1220.54,Supports digestive wellness based on probiotic blend,YES,NO,0.0
INF-004,@fitnesswithmark,YouTube,125000,2026-06-25,ProBio+ Q1,YES,Verbal+on-screen first 30s,beginning_of_video,40847,7.22,1187,45,1956.63,B-vitamins support energy metabolism,YES,NO,0.0
INF-005,@momlifewellness,Instagram,38000,2026-06-24,ProBio+ Q1,YES,#ad at beginning,beginning_of_caption,8867,3.24,202,3,125.67,Supports immune health naturally,YES,NO,0.0
INF-006,@doctordave_wellness,Instagram,198000,2026-06-24,ProBio+ Q1,NO,none,none,80041,5.84,3378,121,5163.21,Doctor recommended for immune function,NO,YES,51744.0
INF-007,@probioticlover,TikTok,28000,2026-06-25,ProBio+ Q1,NO,buried in hashtags,end_of_caption,4861,3.76,119,4,167.19,May help support gut health,NO,YES,51744.0
INF-008,@wellnessmama_official,Instagram,412000,2026-06-23,ProBio+ Q1,YES,Ad: at beginning,beginning_of_caption,148885,2.11,1542,33,1332.84,Supports immune and digestive health,YES,NO,0.0
INF-009,@holistichealthguru,YouTube,88000,2026-06-23,ProBio+ Q1,YES,Verbal+on-screen first 30s,beginning_of_video,36075,4.35,912,36,1468.92,Clinically inspired probiotic formula supports wellness,YES,NO,0.0
INF-010,@fitfoodienutritionist,Instagram,55000,2026-06-24,ProBio+ Q1,YES,#ad at beginning,beginning_of_caption,11706,3.59,325,10,430.36,Supports digestive comfort,YES,NO,0.0
INF-001,@drwellnessnetwork,Instagram,285000,2026-06-30,ProBio+ Q1,NO,none,none,88418,3.44,1779,37,1650.83,Clinically demonstrated to support immune function,NO,YES,51744.0
INF-002,@healthcoach_jay,TikTok,42000,2026-07-04,ProBio+ Q1,NO,#giftedpartnership at hashtag end,end_of_caption,13317,6.39,627,23,946.11,May help support immune health,NO,YES,51744.0
INF-003,@nutritionbyjessica,Instagram,67500,2026-06-29,ProBio+ Q1,YES,Ad: at beginning,beginning_of_caption,26427,4.49,506,21,899.34,Supports digestive wellness based on probiotic blend,YES,NO,0.0
INF-004,@fitnesswithmark,YouTube,125000,2026-07-04,ProBio+ Q1,YES,Verbal+on-screen first 30s,beginning_of_video,30550,6.19,1055,44,1860.51,B-vitamins support energy metabolism,YES,NO,0.0
INF-005,@momlifewellness,Instagram,38000,2026-07-01,ProBio+ Q1,YES,#ad at beginning,beginning_of_caption,7291,6.79,304,11,463.45,Supports immune health naturally,YES,NO,0.0
