matter_id,description,custodians,hold_since,status
MATTER-2026-001,Regulatory investigation — EU competition authority,GC;CFO;CTO,2026-01-10,ACTIVE
MATTER-2026-002,Former employee IP dispute,GC;HR-Director;CTO,2026-02-01,ACTIVE
MATTER-2026-003,Third-party vendor contract dispute,GC;Procurement,2026-02-15,ACTIVE
MATTER-HIST-000,Historical matter 0,GC;Legal,2025-05-06,CLOSED
MATTER-HIST-001,Historical matter 1,GC;Legal,2025-08-28,CLOSED
MATTER-HIST-002,Historical matter 2,GC;Legal,2025-07-02,CLOSED
MATTER-HIST-003,Historical matter 3,GC;Legal,2025-07-25,CLOSED
MATTER-HIST-004,Historical matter 4,GC;Legal,2025-12-27,CLOSED
MATTER-HIST-005,Historical matter 5,GC;Legal,2025-07-19,CLOSED
MATTER-HIST-006,Historical matter 6,GC;Legal,2025-11-16,CLOSED
MATTER-HIST-007,Historical matter 7,GC;Legal,2025-08-03,CLOSED
MATTER-HIST-008,Historical matter 8,GC;Legal,2025-08-27,CLOSED
MATTER-HIST-009,Historical matter 9,GC;Legal,2025-01-08,CLOSED
MATTER-HIST-010,Historical matter 10,GC;Legal,2025-10-06,CLOSED
MATTER-HIST-011,Historical matter 11,GC;Legal,2025-08-22,CLOSED
MATTER-HIST-012,Historical matter 12,GC;Legal,2025-08-05,CLOSED
MATTER-HIST-013,Historical matter 13,GC;Legal,2025-11-03,CLOSED
MATTER-HIST-014,Historical matter 14,GC;Legal,2025-12-22,CLOSED
MATTER-HIST-015,Historical matter 15,GC;Legal,2025-04-16,CLOSED
MATTER-HIST-016,Historical matter 16,GC;Legal,2025-09-04,CLOSED
MATTER-HIST-017,Historical matter 17,GC;Legal,2025-06-20,CLOSED
MATTER-HIST-018,Historical matter 18,GC;Legal,2025-08-12,CLOSED
MATTER-HIST-019,Historical matter 19,GC;Legal,2025-02-10,CLOSED
