issue_id,category,description,regulation,ftc_citation,severity,status,date_identified,date_due,assignee,penalty_exposure_usd,resolution_action,resolution_date,notes
COMP-001,Health Claim,"'May help support immune function' in press release v1",FTC Health Products Guidance,FTC Health Products Guidance,MEDIUM,RESOLVED,2025-12-04,2026-01-28,Mike Torres,51744,"Update employee review policy",2026-01-28,"Superseded by CEO retraction CEO-RETRACT-20260312-01"
COMP-002,Health Claim,"'Promising preliminary research' in press release v1",FTC Health Products Guidance,FTC Health Products Guidance,LOW,OPEN,2025-12-02,2026-01-28,Casey Park,51744,"Obtain independent test report",N/A,"Superseded by CEO retraction CEO-RETRACT-20260312-01"
COMP-003,Health Claim,"'Clinically demonstrated to enhance digestive wellness'",FTC Health Products Guidance,FTC Health Products Guidance,MEDIUM,RESOLVED,2025-12-11,2026-01-18,Mike Torres,103488,"Pending: awaiting evidence collection",2026-01-28,"External counsel opinion requested"
COMP-004,Endorsement Disclosure,"Template A: '#ad' buried in hashtag list",16 CFR Part 255,16 CFR §255.5,HIGH,OPEN,2025-12-01,2026-01-25,Mike Torres,724416,"Update disclosure to 'Ad:' format",N/A,"Superseded by CEO retraction CEO-RETRACT-20260312-01"
COMP-005,Endorsement Disclosure,"Template C: Platform Paid Partnership label only",16 CFR Part 255,16 CFR §255.5,MEDIUM,MONITORING,2025-12-13,2026-01-28,Mike Torres,51744,"Resolved: claim removed from v2 draft",N/A,"Superseded by CEO retraction CEO-RETRACT-20260312-01"
COMP-006,Consumer Review,"Employee review solicitation without disclosure directive",16 CFR Part 465,16 CFR §465.3,MEDIUM,ESCALATED,2025-12-12,2026-01-26,Mike Torres,2069760,"Remove claim from all materials",N/A,"External counsel opinion requested"
COMP-007,Expert Endorsement,"'Doctor-Formulated' without named professional",16 CFR Part 255,16 CFR §255.3,MEDIUM,RESOLVED,2025-12-04,2026-01-22,Alex Rivera (Ext.),310464,"Pending: awaiting evidence collection",2026-01-28,"External counsel opinion requested"
COMP-008,Expert Endorsement,"Physician testimonial (Dr. Johnson) — actor or real?",16 CFR Part 255,16 CFR §255.3,MEDIUM,OPEN,2025-12-17,2026-01-27,Sarah Chen,51744,"Display all review ratings equally",N/A,"See also related issue #18"
COMP-009,Environmental Claim,"'Biodegradable formula capsules' without test data",16 CFR Part 260,16 CFR §260.8,LOW,MONITORING,2025-12-13,2026-01-28,Casey Park,51744,"Pending: awaiting evidence collection",N/A,"See also related issue #11"
COMP-010,Environmental Claim,"'Eco-friendly packaging' without substantiation",16 CFR Part 260,16 CFR §260.4,HIGH,IN PROGRESS,2025-12-03,2026-01-26,Casey Park,51744,"Resolved: claim removed from v2 draft",N/A,"See also related issue #11"
