txn_id,grantor_id,date,vendor,category,amount_usd,receipt_ref,approval_flag,notes
GRA-0001,halcyon,2025-06-28,Community Health Trust,travel_domestic,110.0,RCP-NONE,approved,Travel Domestic expense for programme activities
GRA-0002,halcyon,2025-12-20,Safarilink Aviation,travel_domestic,370.68,RCP-NONE,approved,Travel Domestic expense for programme activities
GRA-0003,halcyon,2025-05-20,Community Health Trust,travel_intl,835.76,RCP-NONE,approved,Travel Intl expense for programme activities
GRA-0004,halcyon,2025-12-20,Stationery World Nairobi,travel_intl,1473.49,RCP-NONE,approved,Travel Intl expense for programme activities
GRA-0005,halcyon,2025-01-05,Print House Nairobi,stationery,252.36,RCP-NONE,approved,Stationery expense for programme activities
GRA-0006,halcyon,2025-05-20,Savanna Catering Co.,equipment,700.17,RCP-NONE,approved,Equipment expense for programme activities
GRA-0007,halcyon,2025-08-15,Nairobi Conference Centre,venue_hire,416.06,RCP-NONE,pending,Venue Hire expense for programme activities
GRA-0008,halcyon,2025-09-05,Safarilink Aviation,catering,391.3,RCP-NONE,approved,Catering expense for programme activities
GRA-0009,halcyon,2025-02-15,Kenya Airways,equipment,1239.23,RCP-NONE,approved,Equipment expense for programme activities
GRA-0010,halcyon,2025-05-28,MAN Field Office,stationery,296.31,RCP-NONE,approved,Stationery expense for programme activities
GRA-0011,halcyon,2025-08-25,Print House Nairobi,catering,436.06,RCP-NONE,approved,Catering expense for programme activities
GRA-0012,halcyon,2025-02-20,Print House Nairobi,training,602.11,RCP-NONE,approved,Training expense for programme activities
GRA-0013,halcyon,2025-09-05,Nairobi Conference Centre,training,298.04,RCP-NONE,pending,Training expense for programme activities
GRA-0014,halcyon,2025-08-03,Emirates Group Travel,travel_intl,1240.0,RCP-002,approved,MAN Mission Ref MAN-2025-A-014; prior written approval on file
GRA-0015,halcyon,2025-02-10,Community Health Trust,training,610.77,RCP-NONE,pending,Training expense for programme activities
GRA-0016,halcyon,2025-02-15,Tech Supplies Kenya,equipment,922.1,RCP-NONE,pending,Equipment expense for programme activities
GRA-0017,halcyon,2025-11-20,Acacia Meeting Rooms,equipment,582.73,RCP-NONE,pending,Equipment expense for programme activities
GRA-0018,halcyon,2025-03-28,Community Health Trust,catering,214.29,RCP-NONE,approved,Catering expense for programme activities
GRA-0019,halcyon,2025-10-05,Amani Training Centre,stationery,236.75,RCP-NONE,approved,Stationery expense for programme activities
GRA-0020,halcyon,2025-03-28,Programme Support Unit,training,798.4,RCP-NONE,approved,Training expense for programme activities
GRA-0021,halcyon,2025-09-12,"Grand Continental Hotel, Nairobi",accommodation,890.0,RCP-001,approved,Accommodation for programme mission; per diem within Appendix IV rate
GRA-0022,halcyon,2025-04-10,Print House Nairobi,travel_intl,1833.32,RCP-NONE,pending,Travel Intl expense for programme activities
GRA-0023,halcyon,2025-09-10,Acacia Meeting Rooms,venue_hire,1015.69,RCP-NONE,approved,Venue Hire expense for programme activities
GRA-0024,halcyon,2025-12-25,Nairobi Grand Hotel,catering,388.1,RCP-NONE,approved,Catering expense for programme activities
GRA-0025,halcyon,2025-12-15,Nairobi Conference Centre,travel_domestic,372.68,RCP-NONE,pending,Travel Domestic expense for programme activities
GRA-0026,halcyon,2025-10-10,Print House Nairobi,equipment,400.79,RCP-NONE,approved,Equipment expense for programme activities
GRA-0027,halcyon,2025-04-25,Programme Support Unit,stationery,292.97,RCP-NONE,pending,Stationery expense for programme activities
GRA-0028,halcyon,2025-11-25,Tech Supplies Kenya,stationery,260.42,RCP-NONE,approved,Stationery expense for programme activities
GRA-0029,halcyon,2025-12-10,Nairobi Grand Hotel,accommodation,554.53,RCP-NONE,approved,Accommodation expense for programme activities
GRA-0030,halcyon,2025-08-25,Africa Health Publishers,catering,158.76,RCP-NONE,approved,Catering expense for programme activities
GRA-0031,halcyon,2025-02-25,Safarilink Aviation,training,726.81,RCP-NONE,approved,Training expense for programme activities
GRA-0032,halcyon,2025-12-15,East Africa Training Institute,travel_domestic,491.19,RCP-NONE,approved,Travel Domestic expense for programme activities
GRA-0033,halcyon,2025-04-20,Nairobi Conference Centre,catering,576.08,RCP-NONE,approved,Catering expense for programme activities
GRA-0034,halcyon,2025-12-20,Tech Supplies Kenya,venue_hire,1457.24,RCP-NONE,approved,Venue Hire expense for programme activities
GRA-0035,halcyon,2025-08-28,Mobile Clinic Services Ltd.,venue_hire,1494.18,RCP-NONE,pending,Venue Hire expense for programme activities
GRA-0036,halcyon,2025-05-25,Safarilink Aviation,catering,204.45,RCP-NONE,approved,Catering expense for programme activities
GRA-0037,halcyon,2025-01-05,Safarilink Aviation,training,553.06,RCP-NONE,approved,Training expense for programme activities
GRA-0038,halcyon,2025-01-25,Savanna Catering Co.,travel_intl,1074.73,RCP-NONE,approved,Travel Intl expense for programme activities
GRA-0039,halcyon,2025-11-15,Tech Supplies Kenya,training,367.09,RCP-NONE,approved,Training expense for programme activities
GRA-0040,halcyon,2025-11-05,Stationery World Nairobi,catering,259.35,RCP-NONE,approved,Catering expense for programme activities
GRA-0041,halcyon,2025-12-15,MAN Internal Finance,indirect_admin,17576.5,RCP-NONE,flagged,"Indirect cost recovery for FY2025; rate calculated at 18.5% of direct costs (95,000 USD base)"
GRA-0042,halcyon,2025-08-20,Stationery World Nairobi,travel_domestic,363.59,RCP-NONE,approved,Travel Domestic expense for programme activities
GRA-0043,halcyon,2025-03-05,Kenya Airways,travel_intl,1608.04,RCP-NONE,approved,Travel Intl expense for programme activities
GRA-0044,halcyon,2025-03-10,Community Health Trust,equipment,1641.07,RCP-NONE,approved,Equipment expense for programme activities
GRA-0045,halcyon,2025-04-28,Nairobi Conference Centre,catering,213.08,RCP-NONE,approved,Catering expense for programme activities
GRA-0046,halcyon,2025-12-25,MAN Field Office,travel_domestic,277.25,RCP-NONE,approved,Travel Domestic expense for programme activities
GRA-0047,halcyon,2025-06-05,Print House Nairobi,travel_intl,1962.8,RCP-NONE,approved,Travel Intl expense for programme activities
GRA-0048,halcyon,2025-09-20,Kenya Airways,catering,246.19,RCP-NONE,approved,Catering expense for programme activities
GRA-0049,halcyon,2025-06-20,Mobile Clinic Services Ltd.,travel_intl,1982.37,RCP-NONE,approved,Travel Intl expense for programme activities
GRA-0050,halcyon,2025-07-10,Tech Supplies Kenya,catering,219.66,RCP-NONE,pending,Catering expense for programme activities
GRA-0051,halcyon,2025-02-10,Kenya Airways,travel_intl,1697.57,RCP-NONE,approved,Travel Intl expense for programme activities
GRA-0052,halcyon,2025-11-28,Safarilink Aviation,accommodation,192.66,RCP-NONE,pending,Accommodation expense for programme activities
GRA-0053,halcyon,2025-06-05,Acacia Meeting Rooms,travel_domestic,338.01,RCP-NONE,approved,Travel Domestic expense for programme activities
GRA-0054,halcyon,2025-01-28,Safarilink Aviation,training,547.35,RCP-NONE,approved,Training expense for programme activities
GRA-0055,halcyon,2025-05-15,Savanna Catering Co.,equipment,1882.47,RCP-NONE,approved,Equipment expense for programme activities
GRA-0056,halcyon,2025-07-15,Mobile Clinic Services Ltd.,venue_hire,457.05,RCP-NONE,approved,Venue Hire expense for programme activities
GRA-0057,halcyon,2025-03-05,Safarilink Aviation,travel_domestic,103.73,RCP-NONE,approved,Travel Domestic expense for programme activities
GRA-0058,halcyon,2025-08-15,Safarilink Aviation,stationery,83.11,RCP-NONE,pending,Stationery expense for programme activities
GRA-0059,halcyon,2025-10-15,NGO Network Kenya,equipment,712.98,RCP-NONE,approved,Equipment expense for programme activities
GRA-0060,halcyon,2025-12-25,Africa Health Publishers,travel_intl,1601.44,RCP-NONE,pending,Travel Intl expense for programme activities
GRA-0061,halcyon,2025-03-28,Nairobi Conference Centre,travel_domestic,475.57,RCP-NONE,approved,Travel Domestic expense for programme activities
GRA-0062,halcyon,2025-04-10,Nairobi Conference Centre,travel_domestic,396.97,RCP-NONE,approved,Travel Domestic expense for programme activities
GRA-0063,halcyon,2025-05-15,Nairobi Conference Centre,training,630.57,RCP-NONE,approved,Training expense for programme activities
GRA-0064,halcyon,2025-02-05,Safarilink Aviation,stationery,276.33,RCP-NONE,approved,Stationery expense for programme activities
GRA-0065,halcyon,2025-08-05,East Africa Training Institute,stationery,61.02,RCP-NONE,approved,Stationery expense for programme activities
GRA-0066,halcyon,2025-10-15,NGO Network Kenya,stationery,90.4,RCP-NONE,approved,Stationery expense for programme activities
GRA-0067,halcyon,2025-11-22,TextBook Direct International,training,450.0,RCP-005,approved,Training materials for community health worker programme
GRA-0068,halcyon,2025-04-10,NGO Network Kenya,travel_intl,934.25,RCP-NONE,approved,Travel Intl expense for programme activities
GRA-0069,halcyon,2025-04-05,Stationery World Nairobi,equipment,1248.52,RCP-NONE,approved,Equipment expense for programme activities
GRA-0070,halcyon,2025-01-28,Twiga Transport Services,stationery,141.16,RCP-NONE,approved,Stationery expense for programme activities
GRA-0071,halcyon,2025-08-20,NGO Network Kenya,training,600.16,RCP-NONE,pending,Training expense for programme activities
GRA-0072,halcyon,2025-04-10,Community Health Trust,venue_hire,1468.6,RCP-NONE,pending,Venue Hire expense for programme activities
GRA-0073,halcyon,2025-01-20,Print House Nairobi,accommodation,811.06,RCP-NONE,approved,Accommodation expense for programme activities
GRA-0074,halcyon,2025-09-25,Community Health Trust,equipment,1608.3,RCP-NONE,approved,Equipment expense for programme activities
GRA-0075,halcyon,2025-01-25,Health Media Kenya,travel_domestic,253.02,RCP-NONE,approved,Travel Domestic expense for programme activities
GRA-0076,halcyon,2025-05-28,Community Health Trust,catering,307.35,RCP-NONE,approved,Catering expense for programme activities
GRA-0077,halcyon,2025-06-28,Safarilink Aviation,training,439.08,RCP-NONE,pending,Training expense for programme activities
GRA-0078,halcyon,2025-11-28,Acacia Meeting Rooms,stationery,137.79,RCP-NONE,approved,Stationery expense for programme activities
GRA-0079,halcyon,2025-03-15,Nairobi Conference Centre,equipment,1890.63,RCP-NONE,approved,Equipment expense for programme activities
GRA-0080,halcyon,2025-10-10,Twiga Transport Services,stationery,59.56,RCP-NONE,approved,Stationery expense for programme activities
GRA-0081,halcyon,2025-11-28,MAN Field Office,equipment,985.51,RCP-NONE,approved,Equipment expense for programme activities
GRA-0082,halcyon,2025-10-10,Nairobi Grand Hotel,training,352.83,RCP-NONE,approved,Training expense for programme activities
GRA-0083,halcyon,2025-02-15,Savanna Catering Co.,training,418.53,RCP-NONE,approved,Training expense for programme activities
GRA-0084,halcyon,2025-07-15,Programme Support Unit,travel_domestic,387.9,RCP-NONE,approved,Travel Domestic expense for programme activities
GRA-0085,halcyon,2025-07-10,NGO Network Kenya,venue_hire,691.42,RCP-NONE,approved,Venue Hire expense for programme activities
GRA-0086,halcyon,2025-09-05,Print House Nairobi,venue_hire,1097.92,RCP-NONE,approved,Venue Hire expense for programme activities
GRA-0087,halcyon,2025-01-05,Africa Health Publishers,stationery,151.52,RCP-NONE,approved,Stationery expense for programme activities
GRA-0088,halcyon,2025-07-28,Mobile Clinic Services Ltd.,venue_hire,1242.91,RCP-NONE,approved,Venue Hire expense for programme activities
GRA-0089,halcyon,2025-04-20,Safarilink Aviation,training,506.7,RCP-NONE,approved,Training expense for programme activities
GRA-0090,halcyon,2025-06-05,Africa Health Publishers,equipment,368.1,RCP-NONE,approved,Equipment expense for programme activities
GRA-0091,halcyon,2025-01-28,Community Health Trust,training,288.41,RCP-NONE,pending,Training expense for programme activities
GRA-0092,halcyon,2025-05-05,Acacia Meeting Rooms,travel_domestic,282.17,RCP-NONE,approved,Travel Domestic expense for programme activities
GRA-0093,halcyon,2025-01-05,MAN Field Office,training,288.54,RCP-NONE,pending,Training expense for programme activities
GRA-0094,halcyon,2025-12-05,Mobile Clinic Services Ltd.,training,305.53,RCP-NONE,approved,Training expense for programme activities
GRA-0095,halcyon,2025-03-20,Mobile Clinic Services Ltd.,training,750.48,RCP-NONE,approved,Training expense for programme activities
GRA-0096,halcyon,2025-12-28,Savanna Catering Co.,catering,450.41,RCP-NONE,pending,Catering expense for programme activities
GRA-0097,halcyon,2025-11-25,Stationery World Nairobi,catering,425.69,RCP-NONE,pending,Catering expense for programme activities
GRA-0098,halcyon,2025-11-20,Crown Restaurant Nairobi,catering,340.0,RCP-NONE,flagged,Staff year-end function; not linked to any programme activity agenda
GRA-0099,halcyon,2025-11-05,Mobile Clinic Services Ltd.,catering,553.74,RCP-NONE,approved,Catering expense for programme activities
GRA-0100,halcyon,2025-06-28,Programme Support Unit,training,703.92,RCP-NONE,approved,Training expense for programme activities
GRA-0101,halcyon,2025-02-20,Africa Health Publishers,training,364.76,RCP-NONE,approved,Training expense for programme activities
GRA-0102,halcyon,2025-12-20,Safarilink Aviation,equipment,775.48,RCP-NONE,approved,Equipment expense for programme activities
GRA-0103,halcyon,2025-04-10,Tech Supplies Kenya,training,429.82,RCP-NONE,approved,Training expense for programme activities
GRA-0104,halcyon,2025-10-28,Stationery World Nairobi,venue_hire,697.06,RCP-NONE,approved,Venue Hire expense for programme activities
GRA-0105,halcyon,2025-01-15,Amani Training Centre,venue_hire,767.37,RCP-NONE,approved,Venue Hire expense for programme activities
GRA-0106,halcyon,2025-07-15,Acacia Meeting Rooms,travel_intl,1931.29,RCP-NONE,pending,Travel Intl expense for programme activities
GRA-0107,halcyon,2025-12-20,Community Health Trust,venue_hire,945.86,RCP-NONE,approved,Venue Hire expense for programme activities
GRA-0108,halcyon,2025-01-20,Acacia Meeting Rooms,stationery,158.96,RCP-NONE,approved,Stationery expense for programme activities
GRA-0153,halcyon,2025-08-10,Kenya Airways,travel_intl,1850.0,RCP-NONE,flagged,Nairobi–London return; pre-approval from GRANTOR_A_OFFICER not documented in file
GRB-0001,nordic,2025-10-28,Nordic Print Solutions,venue_hire,1082.81,RCP-NONE,pending,Venue Hire expense for programme activities
GRB-0002,nordic,2025-01-20,Trondheim Supply Co.,travel_intl,1688.31,RCP-NONE,approved,Travel Intl expense for programme activities
GRB-0003,nordic,2025-04-28,Bergen Skills Institute,accommodation,622.77,RCP-NONE,approved,Accommodation expense for programme activities
GRB-0004,nordic,2025-07-28,Nordic Workshop Facilitators,equipment,372.24,RCP-NONE,pending,Equipment expense for programme activities
GRB-0005,nordic,2025-09-28,Viking Office Supplies,venue_hire,570.0,RCP-NONE,pending,Venue Hire expense for programme activities
GRB-0006,nordic,2025-12-20,Bergen Skills Institute,audit_fees,1058.15,RCP-NONE,pending,Audit Fees expense for programme activities
GRB-0007,nordic,2025-02-15,Bergen Skills Institute,equipment,385.43,RCP-NONE,pending,Equipment expense for programme activities
GRB-0008,nordic,2025-01-15,Nordic Print Solutions,training,283.67,RCP-NONE,approved,Training expense for programme activities
GRB-0009,nordic,2025-05-20,Nordic Health Supplies,audit_fees,3008.38,RCP-NONE,approved,Audit Fees expense for programme activities
GRB-0010,nordic,2025-03-15,Oslo Meeting Rooms,equipment,326.18,RCP-NONE,pending,Equipment expense for programme activities
GRB-0011,nordic,2025-07-20,Helsinki Training House,travel_domestic,265.18,RCP-NONE,approved,Travel Domestic expense for programme activities
GRB-0012,nordic,2025-06-10,Scandinavian Airways,training,219.52,RCP-NONE,approved,Training expense for programme activities
